ID,转发数,评论数,发表时间,性别,粉丝数,状态数,正文
100114,0,0,20150330 11:21:49,m,156,3034,是抢钱啊，还是贬币啊，官企牛Ⅹ//@上海新闻播报:#乘直升飞机看上海# [doge]@Super_sonia :除了共青，6号线一部头参观就好了…@灰机喵WB :雾霾天打折么？
100114,0,0,20140909 08:36:56,m,156,3034,也不单单是北京上海也一样，占地为王，马路边上划条白线就停车收弗 //@霸气的北京小妞://@北京小女孩Cici://@郁闷的东北虎:转发微博
100115,0,3,20140824 23:05:43,f,93,15,韩国正品面膜热销中哦！爱美的妞们赶紧入荷吧！多种选择，满足你多种需求！地址：上海浦东浦电路57号2楼2011——涉谷甜心洋服殿   批发总店：上海闸北区七浦路133号新兴旺国际服饰城地下一层二街50号    地铁10号线天潼路站下1号出口即到 http://t.cn/RPrxPFe
100116,0,0,20150101 20:25:33,f,19,103,上海人口不控制、旱晚还要出大事、现在人口比世博会还多！看看地铁换乘站、太吓人啊！不能怪公安民警、他们天天超负荷工作、透支身体、是城市管理问题！上海过去一干三百万、现在多少？还有流动人口、太多了、还要出大事！
100117,3,0,20150328 09:43:43,m,2569,8487,说起来我在去上海找宁树藩先生之前，也只见过他一面，是1989年底1990年初他到中国人民大学开会，晚上我去招待所拜访他，那天下雪，我等了很久他才回来，见面后我说自己是程门立雪，老先生听了笑了。记得当时他和丁淦林教授住同一间客房。1990年以后，我差不多年年到上海，再没见过宁先生，但常在念中。
100118,0,0,20140704 20:10:35,m,98,261,#上海地铁色狼# 对9号线地铁咸猪手，你怎么看？ 若事情属实，坚决将色狼绳之以法 详情:http://t.cn/RvBCVMy
100119,0,0,20140711 12:00:33,m,0,6,来看看我拍的MV：“上海大暴雨啦！！！”，点此播放>>http://t.cn/RvFOQpW（通过 #美拍# 录制）
100120,0,0,20150413 09:25:55,m,103,382,#天气相机#  有点凉[亲亲] 上海市,4月 13 09:07 小雨,空气指数:80 良 
100120,0,1,20150131 10:05:42,m,103,382,#天气相机# 上海市,1月 31 10:05 多云,空气指数:137 轻度污染 向上看天不错 凡事向好处看[花心][花心] 
100120,0,1,20150105 17:59:48,m,103,382,#天气相机#物是人非[吃惊][吃惊] 上海市,1月 5 17:58 多云,空气指数:114 轻度污染 
100120,0,0,20150307 12:24:32,m,103,382,#天气相机# 上海市,3月 7 12:23 多云,空气指数:57 良 春天好😍😍 
100121,176,24,20140726 13:06:46,f,895668,10028,#漫趣物语#【Lovelive!攻陷魔都】昨晚微博已经传疯了中国第一辆动漫主题痛地铁上海二号线今天终于开出~\(≧▽≦)/~ 广大LL教徒表示根本把持不住，又有了新的朝圣地点。盛大也表示我有独特的痛地铁技巧，把二维码放在车厢下半部分，该给跪的，你还是得跪的_(:з」∠)_
100122,0,0,20140708 21:01:34,m,15,57,上海地铁“摸大腿”党办副主任被开除党籍
100123,0,0,20150421 13:20:53,f,75,289,帮转！我在上海地铁十号线上，看到一个好干净漂亮的孩子，被一个女的背着讨钱，孩子睡得很沉！可能是吃了药[吐]大家扩散下！时间是2015/04/20 下午3点，应该是虹桥火车站上车的！直觉告诉我这孩子肯定不是他的！[发怒][发怒][发怒][发怒][发怒][发怒][发怒]看到孩子的长相心都抖一下！
100124,0,0,20140820 16:21:09,f,564,3700,//@央视新闻:【坐地铁遇乘客晕倒怎么办？】上海地铁提示，遇到乘客晕倒你可以：①保持冷静，告知周围乘客，车里有人身体不适，请大家不要惊慌；②看护好病人，拨打120；避免因乘客晕倒导致人员踩踏等事件发生③不擅动紧急装置，待列车运行至下一站时寻求工作人员。（央视记者梁志玮 王殿甲）
100125,0,0,20150101 08:41:32,m,438,743,12月31日晚23时35分许，上海外滩陈毅广场发生市民拥挤踩踏事故，致35人死亡43人受伤。亲历者称楼上有人向楼下抛代金券，人群哄抢，交警筑人墙被冲破多次。据了解伤者多为学生，让我们为伤者哀悼！
100126,0,0,20141208 00:30:15,m,84,81,我参与了#上海地铁安检#发起的投票【目前上海市民对地铁安检员的工作评价是？】，我投给了“普遍业务能力低下，动辄言语侮辱或肢体冲突”这个选项。你也快来表态吧~http://t.cn/Rzif8VL
100127,0,0,20140714 19:15:36,m,11,184,【大纸船登陆，“大黄鸭”神马的都弱爆了！】大黄鸭OUT了！ 4.29日，全球最大纸船“青春号”将亮相上海证大喜玛拉雅艺术中心广场，想不想一睹大纸船的风采？坐地铁7号线到花木路站即可。活动只有短短三天，小编我只能帮你到这了…… http://t.cn/RvrfVNk 
100128,0,0,20150317 14:45:21,m,69,1414,今天上海天气很好[偷笑] http://t.cn/RwswnkP
100129,1,3,20141116 20:03:46,f,181,1159,中通快递你麻痹一个上海同城的快递给我发个4天还没到！！！[怒][怒][怒]老子骑个三轮车都能外环跑几圈了！！！！
100130,0,8,20150130 20:31:17,f,300,644,每次从上海回杭州，最痛苦的就是地铁上的一个半小时，通常都是没有座位的，今日才得知从医院打的到虹桥只要15分钟，我说你们怎么不告诉我呢，同事说以为你喜欢坐地铁，我……[黑线]，就像等了一个小时不见公交车来，才发现已经过了最后一班的时间，这毛病什么时候能改掉[猪头][猪头]
100131,0,0,20150101 07:16:41,m,108,59,人多的地方少去凑热闹[吃惊]//@知名自媒体人强哥:最新消息！上海市黄浦区外滩陈毅广场发生群众拥挤踩踏事故，致35人死亡，42人受伤……[蜡烛][蜡烛]祈福平安[蜡烛]http://t.cn/RZ47VRA
100132,0,1,20150119 21:26:37,f,205,1113,飞机晚点 好在上海地铁没北京人多 很顺利回到家里 去吃了碗馄饨 然后回来洗衣服 http://t.cn/RZOByS2
100133,0,0,20150125 15:56:29,m,52109,12452,这意思是让专车也领个出租车公司执照，那样就合法了，不和他们沆瀣一气搞垄断搞吸血，你就是非法，是黑车//@Ada出生在美国: 与民争利最热心，必亡于贪婪！ 【北京交通委主任：合法出租专车正在研究】 http://t.cn/RZ8s2bG //【上海：政府也在构筑虚拟平台】
100134,0,0,20140922 19:47:18,f,239,4587,为什么来了上海还没有躲过台风[笑cry] //@强妈senma:[吃惊]//@韩剧疯子:转发微博
100134,0,7,20150323 17:11:37,f,239,4587,@姚姚姚姚啊 @M_娜M @刘小宁的Simon 珍惜每一次和他见面的机会。好想他，今天上海天气不错，但我心情很奇怪
100135,0,0,20140927 21:30:58,f,330,16261,//@曹菡艾:上海，他们已经走出了地狱，现在需要家。请带个猫猫回家吧[心]真南路1999号桃浦派出所，和地铁11号线武威路站4号口，中间马路边的绿地。[话筒][话筒]
100136,0,0,20141025 00:38:19,m,7261,101213,上海地铁男子频摸邻座大腿 疑老手去年被曝光过  http://t.cn/R7Is0Ig
100136,0,0,20140708 07:30:49,m,7261,101213,《上海地铁“色狼”系引进人才 受害女生现身报案》http://t.cn/RveZiWf
100136,0,0,20140812 19:57:23,m,7258,101213,上海女子深夜打车骚扰的哥：没带钱 我让你摸几下 http://t.cn/RPOy4WU @凤凰新闻客户端
100137,0,0,20150127 23:18:20,m,0,5,今天在上海下雪了
100138,0,0,20140730 12:37:43,m,144,98,上海莲朱专线收乘客专线！发车员指挥乘客乘车错误信息，还在大叫！7月30日上午12：30分@上海公交官方微博  http://t.cn/8kRRro9
100139,0,0,20140921 10:29:19,m,54,42,上海天气不错，工厂风景也不错
100140,1,1,20140923 11:38:14,f,164,701,今年第16号台风“凤凰”（强热带风暴级）的中心今天8点钟位于杭州湾。预计它即将于今天上午在上海南部沿海登陆（热带风暴和强热带风暴级，9-10级，23-25米/秒）。23日08时至24日08时，江苏东南部、上海东部的部分地区有大雨，局地有暴雨（50～60毫米）。沿海有大风。
100140,1,1,20140923 11:37:46,f,164,701,中央气象台消息，今年第16号台风“凤凰”（热带风暴级）的中心已于今天（23日）10时45分前后在上海市奉贤区海湾镇沿海登陆，登陆时中心附近最大风力有9级（23米/秒），中心最低气压为990百帕。
100141,0,8,20141120 07:09:06,m,1942,1184,#上海地铁逃票#央视报道的地铁逃票看到一个现象，逃票的基本都是上海人！上海人的吝啬再一次体现，几块钱的票都是能逃就逃[鄙视]@余姚杨梅姑娘 @T拉米苏0613
100142,0,0,20150102 19:55:51,m,66,9,上海地铁+，作者：TSP HOLDINGS LIMITED tqiwd吃了 http://t.cn/8sh2awB
100143,0,0,20140930 06:01:45,m,363,2672,【徐若瑄一家四口出行 牵两继女似姐妹(图)】2014年09月29日，上海，近日，徐若瑄一家四口欲坐车出行。身穿亮黄色背心与迷彩裤的徐若瑄青春靓丽，与老公李云峰和两个继女一起似三姐妹。一路上徐若瑄紧牵小女儿走向室外，来到座驾旁徐若瑄并不着急上车而 （分享自 @凤凰娱乐） http://t.cn/RhnQ0G2 
100144,6,0,20150314 13:52:48,m,3750,45318,上海交警查酒驾被打致脑震荡[怒]
100145,1,2,20150415 07:40:46,m,156,1195,上海高架拓宽高峰外地牌照车辆限行时间的第一天，上班一路畅通! 上海是否应该改变一下自己的定位，从上海是全中国人民的上海，改为上海全力服务于上海市民，并兼顾全中国人民! 同意的请转
100146,0,0,20140802 18:19:01,m,733,639,#墨迹时景# 当前上海天气：阴，气温28℃，西北风1级，湿度78%。  http://t.cn/zjtD6o5
100146,0,0,20141101 15:37:38,m,733,639,#墨迹时景# 当前上海天气：阴，气温19℃，西风1级，湿度82%。  http://t.cn/zjjlYWd
100146,0,0,20140906 18:17:26,m,733,639,#墨迹时景# 当前上海天气：晴，气温27℃，东北风1级，湿度67%。  http://t.cn/zjjlYWd
100146,0,0,20140802 18:19:27,m,733,639,#墨迹时景# 当前上海天气：阴，气温28℃，西北风1级，湿度78%。  http://t.cn/zjtD6o5
100147,0,0,20140722 15:35:58,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140726 09:13:36,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140719 09:20:17,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140731 16:58:23,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140704 19:43:54,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140716 10:55:23,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140705 21:42:34,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140720 14:09:29,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140716 19:20:24,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140701 20:23:23,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140726 22:08:43,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140703 18:04:02,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140727 10:50:56,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140726 15:52:11,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100147,0,0,20140719 16:45:11,m,121,6248,//@海立-睿能:#海立集团#亲爱的海粉们：         今天上海已经正式进入梅雨季节了，各种潮湿、各种闷热、各种难受让人抓狂。海立小子开始大耍宝，各种除湿的妙招、各种窍门，各种压箱底的功夫，都在一系列的故事里无偿大放送哦。诸位，请你擦亮眼睛，关注微信；竖起耳朵，听听故事。海立小子开始讲
100148,0,0,20150121 13:26:01,m,10737,6842,【上海今日将开发布会 公布外滩拥挤踩踏事件调查结果】1月6日，是上海外滩拥挤踩踏事件发生第7天，遇难者家属前往事发地哀悼。2014年12月31日晚23时35分许，上海外滩陈..http://t.cn/RZjoRD1 （分享自@搜狐新闻客户端）
100148,0,0,20150121 13:37:00,m,10737,6842,上海今日将开发布会 公布外滩拥挤踩踏事件调查结果_新闻_尚权刑辩网 description http://t.cn/RZjKNya
100149,0,0,20140906 06:14:32,m,128,1894, //@安妮_insomnia:南京路静安寺陆家嘴是重灾区//@中年乐乐: 上海辛苦攒下的出租车声誉，就这么被新加入的司机和打车软件给毁了
100150,0,0,20140804 09:50:48,m,105,4350,//@太原铁路: //@中国铁路: 受“娜基莉”影响，上海铁路局即日起暂停发售8月2日、3日运行于京沪高、合蚌、沪宁、沪杭、宁杭、杭甬、甬台温高铁（客专）线路的所有列车车票，将视台风走向适时调整售票、列车运行方案。
100150,0,0,20140801 10:43:20,m,105,4350,//@太原铁路: //@中国铁路: 受“娜基莉”影响，上海铁路局即日起暂停发售8月2日、3日运行于京沪高、合蚌、沪宁、沪杭、宁杭、杭甬、甬台温高铁（客专）线路的所有列车车票，将视台风走向适时调整售票、列车运行方案。
100151,0,0,20140709 20:51:05,m,23,64,我参与了@上海新闻播报 发起的投票【对#上海地铁色狼#遭全面“人肉”，你怎么看？】，我投给了“不该对其家人造成危害，骚扰他妻子有点过分”这个选项。你也快来表态吧：http://t.cn/RvDYRK8
100152,0,0,20140820 08:10:07,m,77,770,素质！【上海地铁老外晕倒 乘客10秒内跑光http://t.cn/RPRg0vb】 (分享自ZAKER WP版)
100153,0,0,20150412 12:06:54,m,47,873,昨天乘坐上海地铁1号线，排队时有一个老人专用通道，其他所有通道都自觉排成两队，只有这个专用通道的老人们乱七八糟的挤成一团！上车后竟然一个老头和一个大妈为了争抢座位吵了一路！这样一些为老不尊的家伙有什么资格要求年轻人尊重他们呢？
100154,0,0,20141130 11:17:57,m,31,731,//@九尾-3-:恩还没看过，主要是上海下雪积不住，有下雪肯定会带他去滚雪的
100155,0,0,20140710 06:02:29,m,47,44,#墨迹时景# 当前上海天气：多云，气温26℃，西风1级，湿度91%。  http://t.cn/zjtD6o5
100156,0,0,20150410 01:15:45,f,2,185,這是我們第一次旅遊，雖不是純粹為了遊玩而出行但是跟你一起出遊真的很幸福~表面你很開心我懂你只是不想我們擔心~明天就要手術了，希望一切順利，一切如我們所想的只是小問題！安好！長命！我愛你！👉上海的第8個夜 👈 http://t.cn/8kRR48Y
100157,0,0,20141023 08:39:25,f,630,8130,还好，今天早出来//@篱笆闲聊:听说目前1号线很挤？//@上海地铁shmetro: 【运营恢复信息】目前上海地铁1号线车辆故障已排除，受影响区段列车运行逐步恢复中，给您出行带来不便深表歉意！
100158,0,0,20141007 18:00:51,m,356,6686,2点钟从上海出发，沿G42一直向西，高速一路畅通，估计大家都怕最后一天赶上返程高峰，都提前一天了[哈哈]
100158,0,0,20141006 15:59:09,m,356,6686,江桥收费站至中环路严重堵塞，大量外地车辆涌入上海
100158,0,0,20141108 14:02:26,m,356,6686,开车去上海，一路上下着雨，走到沪宁无锡段，交通严重堵塞，还好出门早，12点到了
100159,0,0,20140918 16:44:24,m,50,450,真是服了、上海天气居然是优、顿时感觉好高大上 http://t.cn/RhoioSV
100160,0,0,20140703 15:22:44,f,165,987,就算是写实版素质教育吧，这次之后大家都会自省一下，也算有意义了//@议会最大D:丢人现眼[怒]//@郭志勇de麻乐点评: [拳头]【上海地铁乘客争座 互殴惊呆老外】中国人内战，外国人劝！世界杯早晚是中国的[拳头]//@清风飘逸噻: 丢人现眼！ //@热哥说事://@中国热媒体:丢人 //@弹古论斤
100161,0,0,20150412 13:01:04,m,132,55,假如日本再次侵略，你愿意上前线吗？反问道：上前线有户籍限制吗？农村户口行吗?是不是北京、上海户口的人优先上战场？要暂住证吗？要计划生育证明吗?要健康证吗？需要一年以上完税证明么?不是党员，不是干部，就是一农民，能上吗？牺牲了大家赔钱都一个价吗？真打的时候，分单双号吗?冲锋前要摇号吗？
100162,0,0,20140710 22:24:51,f,144,1071,上海, 07/10 21:40发布: 今天,多云,夜间最低26°,南风3-4级 (来自微博HD天气插件 @天气通 免费下载地址 http://t.cn/zj9HadD )
100163,1,7,20141030 22:03:28,f,424,479,六点多地铁6号线世纪大道延误，人山人海，几趟车过去，好容易排到趟空车，车门一开，人潮疯涌，我被推倒，还好机智侧身倒地，否则我可能被踩成纸片了。真是体会到什么是失控，回看太恐怖。回到家下楼吃饭，一出门发现没带钥匙。上海，就这样要给我留下难忘的印迹。
100164,0,0,20140726 23:07:12,m,708,1375,终于到了上海，排队打车[吃惊][抓狂] http://t.cn/z8A4P7P
100165,0,0,20140707 18:53:53,m,100,910,你大爷的，有这么清晰的视频还不够吗？如果这都不算证据，那啥算证据！那王八蛋还是人才引进到上海的，引进的人看来是同伙！ //【上海9号线遭遇“咸猪手”女生现身报警】http://t.cn/RvgYPRI (分享自 @今日头条)
100166,0,0,20141009 01:16:43,f,110,368, #知趣天气# 上海, 多云, 20° 狮子座今日运势★★★★☆ 微信扫描二维码有惊喜哦~
100167,0,0,20150226 07:13:43,m,54,128,#知趣天气# 上海, 阴转小雨, 8° 
100167,0,0,20141209 05:45:06,m,54,128, #知趣天气# 上海, 多云转阴, 6°
100167,0,0,20141215 21:06:54,m,54,128, #知趣天气# 上海, 多云, 8°
100167,0,0,20141207 07:45:57,m,54,128, #知趣天气# 上海, 小雨转多云, 7°
100167,0,0,20141101 14:04:04,m,54,128, #知趣天气# 上海, 小雨, 18°
100167,0,0,20141210 07:35:55,m,54,128, #知趣天气# 上海, 小雨, 10°
100167,0,0,20141130 08:42:27,m,54,128, #知趣天气# 上海, 小雨转阴, 15°
100167,0,0,20140923 14:08:55,m,54,128, #知趣天气# 上海, 中雨转小雨, 23° 微信扫描二维码有惊喜哦~
100167,0,0,20141031 06:17:19,m,54,128, #知趣天气# 上海, 中雨, 19°
100167,0,0,20150225 13:05:52,m,54,128,#知趣天气# 上海, 小雨, 8° 
100167,0,0,20141219 11:08:11,m,54,128, #知趣天气# 上海, 阴转多云, 9°
100167,0,0,20141208 08:56:05,m,54,128, #知趣天气# 上海, 阴转多云, 7°
100167,0,0,20141211 08:55:33,m,54,128, #知趣天气# 上海, 多云, 6°
100167,0,0,20141219 07:06:56,m,54,128, #知趣天气# 上海, 阴转多云, 6°
100167,0,0,20141030 08:42:49,m,54,128, #知趣天气# 上海, 小雨, 19°
100167,0,0,20141203 06:57:55,m,54,128, #知趣天气# 上海, 小雨, 6°
100167,0,0,20141220 07:16:47,m,54,128, #知趣天气# 上海, 阴转多云, 8°
100167,0,0,20141221 06:33:10,m,54,128, #知趣天气# 上海, 多云转晴, 3°
100167,0,0,20141206 09:25:04,m,54,128, #知趣天气# 上海, 晴转多云, 3°
100168,0,0,20140829 18:38:50,f,423,1173,@上海地铁shmetro 请问广兰路开往浦东机场最早几点发？我上午8点整飞机起飞，来得及吗？
100169,0,0,20141024 11:05:27,f,258,2453,好玩好玩[馋嘴] 上海地铁来一个吧 @上海地铁shmetro
100170,2,7,20150201 19:18:36,f,1390,25514,@MinhoIsMine [doge]逼格怎么高不起来的见网友心路历程！[喵喵]去找传说中新代言的冰淇淋也是醉了！在负一楼停车场里面[笑cry]路过spao买了个包（sw追星狗专用包你懂的）[亲亲]特地跑来谢谢你啦~[doge]下次大概会在上海见哈哈哈哈 http://t.cn/RZeDWDF
100171,0,0,20140820 08:36:35,m,70,857,上海城市越大人越多，好人越少，没人情味，小地方类似还没出现过。 //【上海地铁一名老外晕倒 乘客无一相助仓皇逃窜】http://t.cn/RPRDFxI (分享自 @今日头条)
100172,0,0,20141130 20:04:06,m,380,6434,上海公交专用道的管理要加强！移动监管设备多装几套吧！@上海发布 @警民直通车_上海 @解放日报 @新民晚报 【北京三环公交专用道拟全连通】 http://t.cn/RzMzBFW @新浪新闻客户端
100172,0,0,20140705 09:48:50,m,380,6434,揭露禽兽！洁净上海！@北京王惠//@全球上海人权益互助保护组织: 【更多被害者选择站出来指证锦江色狼！】网友@潇湘小QUEEN: 微博表示：靠！这个人是去年在五号线上把手机伸我裙子下面拍照的男的！绝对是他！ （此人不是初犯，而是惯犯！希望有关部门在有视频的情况下，不能在任其忽悠什么梦
100172,0,0,20140708 22:49:35,m,380,6434,网民的力量！//@上海沈善增: //@公务员张敏宴//@海南梁山: 辟谣//@新京报:【上海地铁“摸腿门”主角被开除党籍并解职】锦江集团官网消息，决定给予“摸腿门”主角王其康开除党籍处分，并与其解除劳动合同。王在地铁上偷摸女生大腿，视频曝光后遭人肉搜索，已被警方行政拘留。 http://t.cn/Rvem3is “
100172,1,0,20140708 20:36:05,m,380,6434,早一点处理不更好！现在打折扣了！@锦江集团 @直播君 @上海发布//@浪漫的潘金莲: 【沪地铁“咸猪手”主角被开除党籍并解职】上海地铁9号线"咸猪手"事件有了最新进展，锦江集团宣布，决定给予事件主角王其康开除党籍处分，并与其解除劳动合同。王在地铁上偷摸女生大腿，视频曝光后遭网民
100173,0,0,20140829 21:08:57,f,69,2039,//@恋雾--迷尘: [爱你][爱你][爱你] //@小飞侠fly_cri:走的VIP[嘻嘻]//@张根硕贴吧官方微博: 140829#张根硕微博翻译#尖叫 上海!!!!!!!!（某人打的是拼音）
100174,2,0,20150104 05:41:14,m,5885,1341,#上海外滩踩踏事故##上海外滩踩踏事故#【现场：有一种声音在高喊“往后退”】前面发生踩踏后，数名年轻人高呼“往后退”，在他们号召下，越来越多人加入“往后退”的高喊，人群中腾出一些空间，倒地的人被拉起。网友：这几声“往后退”可能救了很多生命。“往后退”应成为今后拥挤场合的警示句。
100175,0,0,20150212 15:14:48,m,179,3392,上海的拼音还是xangai比较合适 //@上海新闻播报:猛一看还以为左边是去了花桥的11号线[doge]
100176,0,0,20140820 15:00:06,m,895,24079,//@财经网:【上海地铁：老外晕倒车厢无人相助并不属实】乘客当时慌乱是由于情况突然，列车进站后，跑出车厢的乘客立即到站台寻求站务员帮助，站务员亦及时上车对外籍乘客进行救助，“无一人相助”并不属实。希望乘客遇到类似的情况能够更加冷静、切莫惊慌，理性判断，合理应对，切莫盲目跟风
100177,0,0,20150127 22:21:14,m,96,1224,下雪了……上海绝对又要something happen 了
100178,0,0,20141130 08:05:31,m,705,14198,我家1979年买了俩当时最时尚的上海凤凰锰钢28型自行车。为找票，我老爹可费了不少劲。话说上海工业品的质量真的没得说，南方潮湿气候下，这辆自行车在我家一直用到了1996年。
100179,0,0,20150407 21:37:33,f,917,10185,上海下雨简直冷死  现在睡着电热毯[doge] //@奶奶扣:北京这哪儿叫倒春寒 简直就是初冬嘛！
100180,0,0,20141001 23:37:12,f,68,276,我正在看#20141001拍客速递# 【拍客】国庆长假前夜 上海道路堵成停车场 @腾讯视频 http://t.cn/RhunbtA 
100181,0,0,20140908 14:08:22,f,127,985,//@沉沉_空知请给活路:[挖鼻屎]//@TaniyamaPeter: 牛总快愤然跳槽！//@榊唯_偏执狂:就没有然后了…//@大豪寺牛肉-专注垫刀头30年:地铁公司，首先是领导们的地铁公司，然后……//@魔王麒: 去英國叫他們別用英文報站啊笨! 傻逼上海地鐵副總裁, 來香港地鐵學習下吧, 雜種!
100182,0,0,20150101 06:34:17,f,7442,36506,🙏🙏🙏 //@默默减肥瘦身小时光:到底是跨年呢还是去跨鬼门关了！#上海踩踏事故#【上海外滩昨夜发生踩踏事故致35人死亡】2014年12月31日晚23点35分许，上海黄浦区外滩陈毅广场发生群众拥挤踩踏事故，致35人死亡，42人受伤。事故发生后，上海市连夜成立工作组，做好伤员抢救和善后处置等工作。 
100183,0,0,20140922 10:59:30,m,620,14462,明天我去上海看台风！
100184,0,1,20140819 09:38:36,f,76,179,今天早上有外地小孩在2号线车厢内撒尿，我一个外地同事听到我说这事，第一句话就是“你们上海人歧视外地人”…事实还不让人说？然后他说“只要在上海生活就是上海人”，我说那你在东京读书的时候就是东京人？他说“是啊。”我说那你现在在上海工作就是上海人？他说“不，我不承认自己是上海人”
100185,0,2,20150207 17:37:12,f,423,2448,地铁安检不就是应该要统一规范的吗，有的用手持的，有的通过看，有的通过安检员摸下包。我今天背的是双肩包里面几乎没什么东西让你们的安检员在外面摸一下，他居然回答我的是摸不出来，平时遇到的安检员都是在混日子的吗？还是说就是你们16号线鹤沙航城的安检员培训和别人不一样吗？@上海地铁shmetro
