"区域编号","时间","指数","分数","速度"
"01NBDGH_YC","2014-08-23 21:30:00","28.74","1.00","55.27"
"01NHNYX_GH","2014-08-23 21:30:00","37.93","1.00","46.99"
"01NHWLB_YP","2014-08-23 21:30:00","16.41","1.00","66.59"
"01WHNHX_WZ","2014-08-23 21:30:00","25.30","0.98","58.89"
"01NHNGH_YP","2014-08-23 21:30:00","29.28","1.00","55.63"
"01NHNYP_LB","2014-08-23 21:30:00","17.11","1.00","65.66"
"01YXDDB_WH","2014-08-23 21:30:00","20.57","0.99","61.04"
"01ZHNXX_GH","2014-08-23 21:30:00","14.87","1.00","67.37"
"01NHNLB_YX","2014-08-23 21:30:00","28.65","1.00","56.19"
"01WHWWZ_HX","2014-08-23 21:30:00","19.38","0.90","64.92"
"01YABYD_HQ","2014-08-23 21:30:00","29.17","1.00","55.21"
"01ZHWXX_JY","2014-08-23 21:30:00","18.64","1.00","65.74"
"01HMDXZ_CX","2014-08-23 21:30:00","23.66","0.99","57.96"
"01NBXGH_LB","2014-08-23 21:30:00","39.73","1.00","47.09"
"01WHNHJ_TJ","2014-08-23 21:30:00","20.21","0.80","62.60"
"01WHNJY_HY","2014-08-23 21:30:00","20.43","0.77","63.62"
"01WHWHY_JY","2014-08-23 21:30:00","15.34","0.97","67.99"
"01WHWWZ_TJ","2014-08-23 21:30:00","33.56","1.00","53.50"
"01WZBWZ_XY","2014-08-23 21:30:00","8.98","0.99","72.82"
"01ZHWJG_GH","2014-08-23 21:30:00","24.17","0.94","59.53"
"01NBXYC_GH","2014-08-23 21:30:00","25.25","0.99","58.34"
"01NHWGH_YX","2014-08-23 21:30:00","23.94","1.00","59.73"
"01WHNHX_JY","2014-08-23 21:30:00","15.08","0.50","68.17"
"01YXXWH_DB","2014-08-23 21:30:00","17.86","1.00","61.91"
"01ZHNJY_XX","2014-08-23 21:30:00","16.87","1.00","66.53"
"01ZHWJY_SJ","2014-08-23 21:30:00","5.74","0.95","75.85"
"total","2014-08-23 21:30:00","22.90","0.94","61.11"
"01HMXCX_XZ","2014-08-23 21:30:00","24.10","1.00","58.40"
"01NBDJY_LB","2014-08-23 21:30:00","21.51","0.91","62.73"
"01NBXLB_JY","2014-08-23 21:30:00","25.92","0.99","58.12"
"01NHWYP_GH","2014-08-23 21:30:00","22.93","1.00","59.44"
"01WHNTJ_WZ","2014-08-23 21:30:00","36.25","1.00","51.16"
"01WHWTJ_HJ","2014-08-23 21:30:00","27.92","0.71","57.54"
"01WZNXY_WZ","2014-08-23 21:30:00","12.04","0.99","72.98"
"01ZHNGH_JG","2014-08-23 21:30:00","19.99","0.92","64.75"
"01ZHNSJ_JY","2014-08-23 21:30:00","6.01","0.95","76.01"
"01WHNHY_HJ","2014-08-23 21:30:00","17.33","0.99","65.45"
"01WHWHJ_HY","2014-08-23 21:30:00","19.07","0.71","64.55"
"01WHWJY_HX","2014-08-23 21:30:00","9.51","0.62","72.54"
"01YANHQ_YD","2014-08-23 21:30:00","38.07","1.00","46.33"
"01ZHWGH_XX","2014-08-23 21:30:00","16.32","1.00","67.23"
"01NBDLB_GH","2014-08-23 21:30:00","48.10","1.00","43.65"
"01NHWYX_LB","2014-08-23 21:30:00","39.58","1.00","50.32"
"01NBDGH_YC","2014-08-23 21:40:00","28.70","1.00","55.32"
"01NHNYX_GH","2014-08-23 21:40:00","39.26","1.00","45.52"
"01NHWLB_YP","2014-08-23 21:40:00","16.68","1.00","66.26"
"01WHNHX_WZ","2014-08-23 21:40:00","24.66","0.99","59.41"
"01NHNGH_YP","2014-08-23 21:40:00","28.03","1.00","56.60"
"01NHNYP_LB","2014-08-23 21:40:00","16.52","1.00","66.07"
"01YXDDB_WH","2014-08-23 21:40:00","21.24","0.99","60.20"
"01ZHNXX_GH","2014-08-23 21:40:00","14.30","1.00","67.84"
"01NHNLB_YX","2014-08-23 21:40:00","28.18","1.00","56.58"
"01WHWWZ_HX","2014-08-23 21:40:00","19.02","0.86","65.18"
"01YABYD_HQ","2014-08-23 21:40:00","29.57","1.00","54.63"
"01ZHWXX_JY","2014-08-23 21:40:00","19.23","1.00","65.28"
"01HMDXZ_CX","2014-08-23 21:40:00","23.42","0.99","58.18"
"01NBXGH_LB","2014-08-23 21:40:00","42.07","1.00","45.22"
"01WHNHJ_TJ","2014-08-23 21:40:00","20.69","0.78","62.42"
"01WHNJY_HY","2014-08-23 21:40:00","19.87","0.89","64.49"
"01WHWHY_JY","2014-08-23 21:40:00","13.92","0.99","69.16"
"01WHWWZ_TJ","2014-08-23 21:40:00","32.48","1.00","54.53"
"01WZBWZ_XY","2014-08-23 21:40:00","9.04","0.99","72.71"
"01ZHWJG_GH","2014-08-23 21:40:00","24.83","0.98","59.17"
"01NBXYC_GH","2014-08-23 21:40:00","25.75","0.99","58.41"
"01NHWGH_YX","2014-08-23 21:40:00","24.15","1.00","59.35"
"01WHNHX_JY","2014-08-23 21:40:00","11.42","0.66","69.68"
"01YXXWH_DB","2014-08-23 21:40:00","17.02","1.00","62.29"
"01ZHNJY_XX","2014-08-23 21:40:00","16.81","1.00","66.52"
"01ZHWJY_SJ","2014-08-23 21:40:00","5.88","0.95","75.77"
"total","2014-08-23 21:40:00","22.93","0.95","61.03"
"01HMXCX_XZ","2014-08-23 21:40:00","23.69","1.00","59.02"
"01NBDJY_LB","2014-08-23 21:40:00","21.06","0.94","62.97"
"01NBXLB_JY","2014-08-23 21:40:00","26.51","0.99","58.00"
"01NHWYP_GH","2014-08-23 21:40:00","23.43","1.00","59.00"
"01WHNTJ_WZ","2014-08-23 21:40:00","36.25","1.00","50.98"
"01WHWTJ_HJ","2014-08-23 21:40:00","27.74","0.73","57.70"
"01WZNXY_WZ","2014-08-23 21:40:00","12.18","0.99","72.94"
"01ZHNGH_JG","2014-08-23 21:40:00","18.45","0.92","66.11"
"01ZHNSJ_JY","2014-08-23 21:40:00","5.70","0.95","76.44"
"01WHNHY_HJ","2014-08-23 21:40:00","17.70","0.99","65.00"
"01WHWHJ_HY","2014-08-23 21:40:00","20.52","0.84","62.58"
"01WHWJY_HX","2014-08-23 21:40:00","9.45","0.66","72.19"
"01YANHQ_YD","2014-08-23 21:40:00","38.72","1.00","45.79"
"01ZHWGH_XX","2014-08-23 21:40:00","16.47","1.00","67.11"
"01NBDLB_GH","2014-08-23 21:40:00","50.70","1.00","41.24"
"01NHWYX_LB","2014-08-23 21:40:00","41.47","1.00","49.11"
"01ZHWJG_GH","2014-08-23 16:40:00","21.27","0.94","61.20"
"01NBXYC_GH","2014-08-23 16:40:00","43.86","0.92","37.15"
"01WHNHJ_TJ","2014-08-15 15:10:00","28.28","0.87","55.03"
"01WHNJY_HY","2014-08-15 15:10:00","42.04","0.82","46.74"
"01WHWHY_JY","2014-08-15 15:10:00","39.87","0.99","49.70"
"01WHWWZ_TJ","2014-08-15 15:10:00","45.65","1.00","45.63"
"01WZBWZ_XY","2014-08-15 15:10:00","25.88","0.99","57.31"
"01ZHWJG_GH","2014-08-15 15:10:00","20.63","0.98","62.71"
"01NBXYC_GH","2014-08-15 15:10:00","44.49","0.99","34.95"
"01NHWGH_YX","2014-08-15 15:10:00","35.90","1.00","49.44"
"01WHNHX_JY","2014-08-15 15:10:00","19.83","0.44","60.46"
"01YXXWH_DB","2014-08-15 15:10:00","18.42","1.00","59.89"
"01ZHNJY_XX","2014-08-15 15:10:00","25.32","1.00","60.30"
"01ZHWJY_SJ","2014-08-15 15:10:00","3.86","0.96","76.96"
"total","2014-08-15 15:10:00","32.57","0.96","52.79"
"01HMXCX_XZ","2014-08-15 15:10:00","23.64","1.00","59.17"
"01NBDJY_LB","2014-08-15 15:10:00","26.42","1.00","58.31"
"01NBXLB_JY","2014-08-15 15:10:00","29.55","0.99","56.01"
"01NHWYP_GH","2014-08-15 15:10:00","38.74","1.00","45.24"
"01WHNTJ_WZ","2014-08-15 15:10:00","40.06","1.00","47.50"
"01WHWTJ_HJ","2014-08-15 15:10:00","35.05","0.94","46.93"
"01WZNXY_WZ","2014-08-15 15:10:00","11.74","1.00","72.16"
"01ZHNGH_JG","2014-08-15 15:10:00","16.55","0.92","67.11"
"01ZHNSJ_JY","2014-08-15 15:10:00","4.52","0.99","76.65"
"01WHNHY_HJ","2014-08-15 15:10:00","36.52","0.99","49.95"
"01WHWHJ_HY","2014-08-15 15:10:00","38.78","1.00","47.38"
"01WHWJY_HX","2014-08-15 15:10:00","13.44","0.68","66.48"
"01YANHQ_YD","2014-08-15 15:10:00","61.14","1.00","33.37"
"01ZHWGH_XX","2014-08-15 15:10:00","21.11","1.00","63.40"
"01NBDLB_GH","2014-08-15 15:10:00","58.30","1.00","33.85"
"01NHWYX_LB","2014-08-15 15:10:00","60.80","1.00","29.99"
"01NBDGH_YC","2014-08-15 15:10:00","26.74","0.99","57.21"
"01NHNYX_GH","2014-08-15 15:10:00","43.12","1.00","42.06"
"01NHWLB_YP","2014-08-15 15:10:00","18.72","1.00","64.98"
"01WHNHX_WZ","2014-08-15 15:10:00","34.22","0.99","52.59"
"01NHNGH_YP","2014-08-15 15:10:00","25.63","1.00","58.60"
"01NHNYP_LB","2014-08-15 15:10:00","27.63","1.00","54.93"
"01YXDDB_WH","2014-08-15 15:10:00","16.18","0.98","64.03"
"01ZHNXX_GH","2014-08-15 15:10:00","24.47","1.00","62.01"
"01NHNLB_YX","2014-08-15 15:10:00","49.57","1.00","39.87"
"01WHWWZ_HX","2014-08-15 15:10:00","21.93","0.87","61.83"
"01YABYD_HQ","2014-08-15 15:10:00","75.01","1.00","18.83"
"01ZHWXX_JY","2014-08-15 15:10:00","22.10","1.00","62.57"
"01HMDXZ_CX","2014-08-15 15:10:00","43.64","1.00","43.15"
"01NBXGH_LB","2014-08-15 15:10:00","72.39","1.00","21.96"
"01NBDGH_YC","2014-08-01 0:20:00","20.03","1.00","64.48"
"01NHNYX_GH","2014-08-01 0:20:00","23.65","1.00","61.14"
"01NHWLB_YP","2014-08-01 0:20:00","14.44","1.00","67.42"
"01WHNHX_WZ","2014-08-01 0:20:00","21.07","0.87","62.82"
"01NHNGH_YP","2014-08-01 0:20:00","22.72","1.00","60.98"
"01NHNYP_LB","2014-08-01 0:20:00","13.36","1.00","69.24"
"01YXDDB_WH","2014-08-01 0:20:00","18.62","1.00","62.94"
"01ZHNXX_GH","2014-08-01 0:20:00","12.86","1.00","69.36"
"01NHNLB_YX","2014-08-01 0:20:00","19.78","1.00","63.22"
"01WHWWZ_HX","2014-08-01 0:20:00","14.36","0.90","69.83"
"01YABYD_HQ","2014-08-01 0:20:00","17.33","1.00","65.12"
"01ZHWXX_JY","2014-08-01 0:20:00","19.01","1.00","65.70"
"01HMDXZ_CX","2014-08-01 0:20:00","19.65","1.00","62.31"
"01NBXGH_LB","2014-08-01 0:20:00","21.22","1.00","62.21"
"01WHNHJ_TJ","2014-08-01 0:20:00","22.92","0.87","59.86"
"01WHNJY_HY","2014-08-01 0:20:00","15.31","0.79","67.89"
"01WHWHY_JY","2014-08-01 0:20:00","11.80","1.00","70.64"
"01WHWWZ_TJ","2014-08-01 0:20:00","34.65","1.00","51.75"
"01WZBWZ_XY","2014-08-01 0:20:00","8.73","0.88","74.48"
"01ZHWJG_GH","2014-08-01 0:20:00","18.31","0.99","64.19"
"01NBXYC_GH","2014-08-01 0:20:00","21.31","0.92","63.60"
"01NHWGH_YX","2014-08-01 0:20:00","16.71","1.00","65.84"
"01WHNHX_JY","2014-08-01 0:20:00","11.31","0.50","73.54"
"01YXXWH_DB","2014-08-01 0:20:00","17.13","1.00","62.12"
"01ZHNJY_XX","2014-08-01 0:20:00","16.80","0.97","67.19"
"01ZHWJY_SJ","2014-08-01 0:20:00","7.88","0.95","74.90"
"total","2014-08-01 0:20:00","18.38","0.94","64.80"
"01HMXCX_XZ","2014-08-01 0:20:00","14.26","1.00","66.52"
"01NBDJY_LB","2014-08-01 0:20:00","18.52","1.00","64.27"
"01NBXLB_JY","2014-08-01 0:20:00","16.94","1.00","65.63"
"01NHWYP_GH","2014-08-01 0:20:00","17.57","1.00","63.98"
"01WHNTJ_WZ","2014-08-01 0:20:00","44.38","1.00","44.40"
"01WHWTJ_HJ","2014-08-01 0:20:00","23.83","0.78","60.64"
"01WZNXY_WZ","2014-08-01 0:20:00","18.76","0.74","62.44"
"01ZHNGH_JG","2014-08-01 0:20:00","14.33","0.95","67.75"
"01ZHNSJ_JY","2014-08-01 0:20:00","7.33","1.00","76.00"
"01WHNHY_HJ","2014-08-01 0:20:00","18.27","1.00","64.36"
"01WHWHJ_HY","2014-08-01 0:20:00","27.92","0.89","56.98"
"01WHWJY_HX","2014-08-01 0:20:00","11.03","0.73","70.05"
"01YANHQ_YD","2014-08-01 0:20:00","18.79","1.00","64.23"
"01ZHWGH_XX","2014-08-01 0:20:00","12.92","1.00","69.01"
"01NBDLB_GH","2014-08-01 0:20:00","24.01","1.00","60.33"
"01NHWYX_LB","2014-08-01 0:20:00","21.81","1.00","62.22"
"01NBDGH_YC","2014-08-08 10:20:00","21.61","1.00","61.02"
"01NHNYX_GH","2014-08-08 10:20:00","39.54","1.00","46.32"
"01NHWLB_YP","2014-08-08 10:20:00","24.85","1.00","60.35"
"01WHNHX_WZ","2014-08-08 10:20:00","44.98","1.00","41.33"
"01NHNGH_YP","2014-08-08 10:20:00","31.43","1.00","54.72"
"01NHNYP_LB","2014-08-08 10:20:00","33.73","1.00","52.33"
"01YXDDB_WH","2014-08-08 10:20:00","24.13","1.00","59.66"
"01ZHNXX_GH","2014-08-08 10:20:00","23.78","1.00","61.13"
"01NHNLB_YX","2014-08-08 10:20:00","59.07","1.00","33.97"
"01WHWWZ_HX","2014-08-08 10:20:00","25.94","0.92","58.49"
"01YABYD_HQ","2014-08-08 10:20:00","50.95","1.00","35.11"
"01ZHWXX_JY","2014-08-08 10:20:00","33.54","1.00","54.31"
"01HMDXZ_CX","2014-08-08 10:20:00","51.67","1.00","36.56"
"01NBXGH_LB","2014-08-08 10:20:00","66.54","1.00","27.58"
"01WHNHJ_TJ","2014-08-08 10:20:00","26.50","0.89","56.41"
"01WHNJY_HY","2014-08-08 10:20:00","53.05","1.00","39.78"
"01WHWHY_JY","2014-08-08 10:20:00","42.68","1.00","47.21"
"01WHWWZ_TJ","2014-08-08 10:20:00","54.33","1.00","38.75"
"01WZBWZ_XY","2014-08-08 10:20:00","21.92","0.92","63.05"
"01ZHWJG_GH","2014-08-08 10:20:00","22.43","0.93","61.04"
"01NBXYC_GH","2014-08-08 10:20:00","42.82","1.00","46.04"
"01NHWGH_YX","2014-08-08 10:20:00","46.48","1.00","40.49"
"01WHNHX_JY","2014-08-08 10:20:00","26.45","0.47","57.07"
"01YXXWH_DB","2014-08-08 10:20:00","30.64","1.00","54.41"
"01ZHNJY_XX","2014-08-08 10:20:00","39.41","1.00","46.49"
"01ZHWJY_SJ","2014-08-08 10:20:00","8.98","1.00","72.64"
"total","2014-08-08 10:20:00","37.43","0.97","49.61"
"01HMXCX_XZ","2014-08-08 10:20:00","32.60","1.00","53.71"
"01NBDJY_LB","2014-08-08 10:20:00","64.17","1.00","32.34"
"01NBXLB_JY","2014-08-08 10:20:00","32.07","1.00","52.46"
"01NHWYP_GH","2014-08-08 10:20:00","38.22","1.00","45.63"
"01WHNTJ_WZ","2014-08-08 10:20:00","44.69","1.00","44.11"
"01WHWTJ_HJ","2014-08-08 10:20:00","37.98","0.84","44.40"
"01WZNXY_WZ","2014-08-08 10:20:00","17.85","1.00","68.54"
"01ZHNGH_JG","2014-08-08 10:20:00","22.02","0.92","62.81"
"01ZHNSJ_JY","2014-08-08 10:20:00","10.89","1.00","70.62"
"01WHNHY_HJ","2014-08-08 10:20:00","38.62","0.99","49.36"
"01WHWHJ_HY","2014-08-08 10:20:00","56.31","1.00","34.15"
"01WHWJY_HX","2014-08-08 10:20:00","13.55","0.84","67.31"
"01YANHQ_YD","2014-08-08 10:20:00","58.60","1.00","35.72"
"01ZHWGH_XX","2014-08-08 10:20:00","36.43","1.00","53.48"
"01NBDLB_GH","2014-08-08 10:20:00","53.01","1.00","34.42"
"01NHWYX_LB","2014-08-08 10:20:00","67.62","1.00","28.41"
"01NBDGH_YC","2014-08-08 10:30:00","21.26","1.00","61.17"
"01NHNYX_GH","2014-08-08 10:30:00","37.49","1.00","48.36"
"01NHWLB_YP","2014-08-08 10:30:00","23.21","1.00","61.26"
"01WHNHX_WZ","2014-08-08 10:30:00","44.06","1.00","42.55"
"01NHNGH_YP","2014-08-08 10:30:00","31.20","1.00","54.49"
"01NHNYP_LB","2014-08-08 10:30:00","31.70","1.00","53.79"
"01YXDDB_WH","2014-08-08 10:30:00","23.92","1.00","59.25"
"01ZHNXX_GH","2014-08-08 10:30:00","23.95","1.00","60.91"
"01NHNLB_YX","2014-08-08 10:30:00","59.76","1.00","33.33"
"01WHWWZ_HX","2014-08-08 10:30:00","23.79","0.92","60.64"
"01YABYD_HQ","2014-08-08 10:30:00","54.15","1.00","33.12"
"01ZHWXX_JY","2014-08-08 10:30:00","35.17","1.00","52.97"
"01HMDXZ_CX","2014-08-08 10:30:00","50.72","1.00","37.68"
"01NBXGH_LB","2014-08-08 10:30:00","65.72","1.00","28.06"
"01WHNHJ_TJ","2014-08-08 10:30:00","27.58","0.91","55.28"
"01WHNJY_HY","2014-08-08 10:30:00","53.32","1.00","39.78"
"01WHWHY_JY","2014-08-08 10:30:00","44.66","1.00","45.42"
"01WHWWZ_TJ","2014-08-08 10:30:00","54.91","1.00","37.93"
"01WZBWZ_XY","2014-08-08 10:30:00","22.07","0.83","61.93"
"01ZHWJG_GH","2014-08-08 10:30:00","21.42","0.98","62.22"
"01NBXYC_GH","2014-08-08 10:30:00","45.33","1.00","44.57"
"01NHWGH_YX","2014-08-08 10:30:00","50.53","1.00","37.85"
"01WHNHX_JY","2014-08-08 10:30:00","24.73","0.43","59.21"
"01YXXWH_DB","2014-08-08 10:30:00","28.06","1.00","54.38"
"01ZHNJY_XX","2014-08-08 10:30:00","40.72","1.00","45.08"
"01ZHWJY_SJ","2014-08-08 10:30:00","7.92","0.98","73.46"
"total","2014-08-08 10:30:00","37.72","0.97","49.36"
"01HMXCX_XZ","2014-08-08 10:30:00","36.77","1.00","51.36"
"01NBDJY_LB","2014-08-08 10:30:00","64.07","1.00","32.27"
"01NBXLB_JY","2014-08-08 10:30:00","32.52","1.00","51.88"
"01NHWYP_GH","2014-08-08 10:30:00","39.32","1.00","44.69"
"01WHNTJ_WZ","2014-08-08 10:30:00","45.88","1.00","42.98"
"01WHWTJ_HJ","2014-08-08 10:30:00","36.63","0.86","45.88"
"01WZNXY_WZ","2014-08-08 10:30:00","17.52","1.00","69.09"
"01ZHNGH_JG","2014-08-08 10:30:00","23.37","0.92","61.58"
"01ZHNSJ_JY","2014-08-08 10:30:00","10.53","1.00","70.97"
"01WHNHY_HJ","2014-08-08 10:30:00","38.51","0.99","49.16"
"01WHWHJ_HY","2014-08-08 10:30:00","56.44","1.00","33.78"
"01WHWJY_HX","2014-08-08 10:30:00","14.76","0.86","66.33"
"01YANHQ_YD","2014-08-08 10:30:00","60.77","1.00","34.60"
"01ZHWGH_XX","2014-08-08 10:30:00","37.43","1.00","52.99"
"01NBDLB_GH","2014-08-08 10:30:00","54.04","1.00","33.87"
"01NHWYX_LB","2014-08-08 10:30:00","68.25","1.00","27.14"
"01NBDGH_YC","2014-08-23 16:40:00","34.03","0.99","51.71"
"01NHNYX_GH","2014-08-23 16:40:00","44.43","1.00","41.12"
"01NHWLB_YP","2014-08-23 16:40:00","16.67","1.00","66.84"
"01WHNHX_WZ","2014-08-23 16:40:00","26.86","0.99","57.49"
"01NHNGH_YP","2014-08-23 16:40:00","30.70","1.00","54.14"
"01NHNYP_LB","2014-08-23 16:40:00","16.30","1.00","65.87"
"01YXDDB_WH","2014-08-23 16:40:00","16.55","0.91","61.26"
"01ZHNXX_GH","2014-08-23 16:40:00","21.57","0.99","62.75"
"01NHNLB_YX","2014-08-23 16:40:00","49.33","1.00","38.95"
"01WHWWZ_HX","2014-08-23 16:40:00","22.52","0.74","61.72"
"01YABYD_HQ","2014-08-23 16:40:00","55.74","1.00","36.96"
"01ZHWXX_JY","2014-08-23 16:40:00","21.84","1.00","62.82"
"01HMDXZ_CX","2014-08-23 16:40:00","54.78","0.99","37.74"
"01NBXGH_LB","2014-08-23 16:40:00","58.96","1.00","36.18"
"01WHNHJ_TJ","2014-08-23 16:40:00","25.91","0.87","57.63"
"01WHNJY_HY","2014-08-23 16:40:00","43.24","0.69","46.06"
"01WHWHY_JY","2014-08-23 16:40:00","33.79","0.79","53.81"
"01WHWWZ_TJ","2014-08-23 16:40:00","32.19","1.00","54.45"
"01WZBWZ_XY","2014-08-23 16:40:00","28.68","0.88","55.40"
"01NBDGH_YC","2014-08-24 6:50:00","7.44","0.91","73.62"
"01NHNYX_GH","2014-08-24 6:50:00","7.98","1.00","72.88"
"01NHWLB_YP","2014-08-24 6:50:00","8.77","0.94","73.24"
"01WHNHX_WZ","2014-08-24 6:50:00","18.05","1.00","64.67"
"01NHNGH_YP","2014-08-24 6:50:00","15.46","1.00","68.37"
"01NHNYP_LB","2014-08-24 6:50:00","7.57","1.00","73.61"
"01YXDDB_WH","2014-08-24 6:50:00","8.11","0.90","70.26"
"01ZHNXX_GH","2014-08-24 6:50:00","6.98","0.90","73.57"
"01NHNLB_YX","2014-08-24 6:50:00","6.22","1.00","74.77"
"01WHWWZ_HX","2014-08-24 6:50:00","17.66","0.72","65.33"
"01YABYD_HQ","2014-08-24 6:50:00","2.35","1.00","77.63"
"01ZHWXX_JY","2014-08-24 6:50:00","7.93","1.00","74.12"
"01HMDXZ_CX","2014-08-24 6:50:00","11.70","1.00","68.54"
"01NBXGH_LB","2014-08-24 6:50:00","9.60","1.00","72.31"
"01WHNHJ_TJ","2014-08-24 6:50:00","27.10","0.55","58.88"
"01WHNJY_HY","2014-08-24 6:50:00","4.29","0.75","76.27"
"01WHWHY_JY","2014-08-24 6:50:00","11.48","0.97","71.96"
"01WHWWZ_TJ","2014-08-24 6:50:00","29.22","1.00","56.98"
"01WZBWZ_XY","2014-08-24 6:50:00","8.44","0.99","73.06"
"01ZHWJG_GH","2014-08-24 6:50:00","7.90","0.86","72.22"
"01NBXYC_GH","2014-08-24 6:50:00","12.67","0.99","69.76"
"01NHWGH_YX","2014-08-24 6:50:00","5.84","1.00","74.10"
"01WHNHX_JY","2014-08-24 6:50:00","24.06","0.29","57.03"
"01YXXWH_DB","2014-08-24 6:50:00","8.78","0.92","68.80"
"01ZHNJY_XX","2014-08-24 6:50:00","10.40","1.00","72.77"
"01ZHWJY_SJ","2014-08-24 6:50:00","1.68","0.94","84.17"
"total","2014-08-24 6:50:00","11.23","0.91","70.79"
"01HMXCX_XZ","2014-08-24 6:50:00","6.52","1.00","72.55"
"01NBDJY_LB","2014-08-24 6:50:00","12.24","0.99","70.53"
"01NBXLB_JY","2014-08-24 6:50:00","8.71","0.98","73.96"
"01NHWYP_GH","2014-08-24 6:50:00","11.10","1.00","71.20"
"01WHNTJ_WZ","2014-08-24 6:50:00","32.20","1.00","54.01"
"01WHWTJ_HJ","2014-08-24 6:50:00","21.73","0.81","62.74"
"01WZNXY_WZ","2014-08-24 6:50:00","6.28","1.00","76.30"
"01ZHNGH_JG","2014-08-24 6:50:00","7.34","0.91","74.60"
"01ZHNSJ_JY","2014-08-24 6:50:00","6.24","0.99","78.31"
"01WHNHY_HJ","2014-08-24 6:50:00","22.02","0.67","64.11"
"01WHWHJ_HY","2014-08-24 6:50:00","14.20","0.89","67.30"
"01WHWJY_HX","2014-08-24 6:50:00","2.14","0.69","77.24"
"01YANHQ_YD","2014-08-24 6:50:00","8.86","1.00","72.52"
"01ZHWGH_XX","2014-08-24 6:50:00","5.81","1.00","75.09"
"01NBDLB_GH","2014-08-24 6:50:00","9.22","1.00","71.93"
"01NHWYX_LB","2014-08-24 6:50:00","9.08","1.00","71.88"
"01NBDGH_YC","2014-08-15 22:40:00","33.19","1.00","52.42"
"01NHNYX_GH","2014-08-15 22:40:00","37.51","1.00","47.68"
"01NHWLB_YP","2014-08-15 22:40:00","15.69","1.00","67.00"
"01WHNHX_WZ","2014-08-15 22:40:00","20.55","1.00","62.30"
"01NHNGH_YP","2014-08-15 22:40:00","25.50","1.00","58.55"
"01NHNYP_LB","2014-08-15 22:40:00","13.36","1.00","68.36"
"01YXDDB_WH","2014-08-15 22:40:00","14.85","1.00","64.90"
"01ZHNXX_GH","2014-08-15 22:40:00","12.06","1.00","70.02"
"01NHNLB_YX","2014-08-15 22:40:00","26.20","1.00","57.95"
"01WHWWZ_HX","2014-08-15 22:40:00","15.55","0.82","66.52"
"01YABYD_HQ","2014-08-15 22:40:00","39.42","1.00","46.03"
"01ZHWXX_JY","2014-08-15 22:40:00","17.14","1.00","67.29"
"01HMDXZ_CX","2014-08-15 22:40:00","19.50","1.00","61.05"
"01NBXGH_LB","2014-08-15 22:40:00","36.11","1.00","49.95"
"01WHNHJ_TJ","2014-08-15 22:40:00","17.19","0.84","64.64"
"01WHNJY_HY","2014-08-15 22:40:00","17.96","0.93","65.70"
"01WHWHY_JY","2014-08-15 22:40:00","25.06","0.98","60.38"
"01WHWWZ_TJ","2014-08-15 22:40:00","35.58","1.00","52.78"
"01WZBWZ_XY","2014-08-15 22:40:00","7.58","0.91","74.01"
"01ZHWJG_GH","2014-08-15 22:40:00","19.23","1.00","63.71"
"01NBXYC_GH","2014-08-15 22:40:00","22.40","1.00","62.06"
"01NHWGH_YX","2014-08-15 22:40:00","25.97","1.00","56.35"
"01WHNHX_JY","2014-08-15 22:40:00","13.88","0.45","68.87"
"01YXXWH_DB","2014-08-15 22:40:00","15.96","1.00","63.10"
"01ZHNJY_XX","2014-08-15 22:40:00","17.67","1.00","65.64"
"01ZHWJY_SJ","2014-08-15 22:40:00","6.65","0.99","75.74"
"total","2014-08-15 22:40:00","21.95","0.96","61.68"
"01HMXCX_XZ","2014-08-15 22:40:00","23.45","1.00","59.60"
"01NBDJY_LB","2014-08-15 22:40:00","19.27","1.00","62.94"
"01NBXLB_JY","2014-08-15 22:40:00","22.26","1.00","60.86"
"01NHWYP_GH","2014-08-15 22:40:00","17.48","1.00","63.83"
"01WHNTJ_WZ","2014-08-15 22:40:00","40.50","1.00","47.00"
"01WHWTJ_HJ","2014-08-15 22:40:00","22.19","0.85","62.83"
"01WZNXY_WZ","2014-08-15 22:40:00","15.54","1.00","69.18"
"01ZHNGH_JG","2014-08-15 22:40:00","15.33","0.92","67.57"
"01ZHNSJ_JY","2014-08-15 22:40:00","6.38","1.00","75.76"
"01WHNHY_HJ","2014-08-15 22:40:00","14.79","1.00","67.13"
"01WHWHJ_HY","2014-08-15 22:40:00","17.69","0.91","64.49"
"01WHWJY_HX","2014-08-15 22:40:00","12.69","0.58","69.17"
"01YANHQ_YD","2014-08-15 22:40:00","37.54","1.00","51.13"
"01ZHWGH_XX","2014-08-15 22:40:00","13.67","1.00","69.13"
"01NBDLB_GH","2014-08-15 22:40:00","60.23","1.00","32.44"
"01NHWYX_LB","2014-08-15 22:40:00","30.83","1.00","54.70"
"01NBDGH_YC","2014-08-01 0:30:00","22.16","1.00","62.71"
"01NHNYX_GH","2014-08-01 0:30:00","27.37","1.00","58.38"
"01NHWLB_YP","2014-08-01 0:30:00","14.06","1.00","67.76"
"01WHNHX_WZ","2014-08-01 0:30:00","20.34","0.90","63.46"
"01NHNGH_YP","2014-08-01 0:30:00","26.09","1.00","57.99"
"01NHNYP_LB","2014-08-01 0:30:00","13.25","1.00","69.18"
"01YXDDB_WH","2014-08-01 0:30:00","18.50","1.00","62.78"
"01ZHNXX_GH","2014-08-01 0:30:00","13.48","1.00","68.89"
