"区域名","区域编号","时间","指数"
"古北","20XZ_GB0000","2014-08-16 23:20:00","24.71"
"华东理工","20XZ_HDLG00","2014-08-16 23:20:00","21.42"
"虹桥开发区","20XZ_HQKFQ0","2014-08-16 23:20:00","25.04"
"沪太","20XZ_HT0000","2014-08-16 23:20:00","24.10"
"龙华","20XZ_LH0000","2014-08-16 23:20:00","25.88"
"上海南站","20XZ_SHNZ00","2014-08-16 23:20:00","24.28"
"上海师大","20XZ_SHSD00","2014-08-16 23:20:00","21.28"
"上海西站","20XZ_SHXZ00","2014-08-16 23:20:00","28.05"
"十六铺","20XN_SLP000","2014-08-05 11:00:00","19.37"
"同济大学","20XN_TJDX00","2014-08-05 11:00:00","33.28"
"提蓝桥","20XN_TLQ000","2014-08-05 11:00:00","28.54"
"五官科医院","20XN_WGKYY0","2014-08-05 11:00:00","53.35"
"徐家汇","20XN_XJH00","2014-08-05 11:00:00","45.64"
"新天地","20XN_XTD000","2014-08-05 11:00:00","44.76"
"中山公园","20XN_ZSGY00","2014-08-05 11:00:00","43.76"
"大木桥","20XN_ZSYY00","2014-08-05 11:00:00","41.39"
"中远两湾城","20XN_ZYLWC0","2014-08-05 11:00:00","39.99"
"北新泾","20XW_BXJ000","2014-08-05 11:00:00","33.97"
"漕河泾","20XW_CHJ000","2014-08-05 11:00:00","38.12"
"共和新村","20XW_GHXC00","2014-08-05 11:00:00","27.01"
"江湾体育场","20XW_JWTYC0","2014-08-05 11:00:00","23.01"
"江湾镇","20XW_JWZC00","2014-08-05 11:00:00","32.09"
"龙柏","20XW_LB0000","2014-08-05 11:00:00","38.49"
"梅陇","20XW_ML0000","2014-08-05 11:00:00","30.73"
"祁连山路","20XW_QLSL00","2014-08-05 11:00:00","31.01"
"上海大学","20XW_SHDX00","2014-08-05 11:00:00","36.45"
"淞南","20XW_SN0000","2014-08-05 11:00:00","32.20"
"新江湾城","20XW_XJWC00","2014-08-05 11:00:00","15.73"
"殷行","20XW_YH0000","2014-08-05 11:00:00","27.46"
"张庙","20XW_ZM0000","2014-08-05 11:00:00","21.71"
"曹杨新村","20XZ_CY0000","2014-08-05 11:00:00","39.44"
"大场","20XZ_DC0000","2014-08-05 11:00:00","31.78"
"大宁","20XZ_DN0000","2014-08-05 11:00:00","31.83"
"古北","20XZ_GB0000","2014-08-05 11:00:00","39.10"
"华东理工","20XZ_HDLG00","2014-08-05 11:00:00","31.78"
"虹桥开发区","20XZ_HQKFQ0","2014-08-05 11:00:00","37.50"
"沪太","20XZ_HT0000","2014-08-05 11:00:00","37.91"
"龙华","20XZ_LH0000","2014-08-05 11:00:00","26.44"
"上海南站","20XZ_SHNZ00","2014-08-05 11:00:00","30.77"
"上海师大","20XZ_SHSD00","2014-08-05 11:00:00","33.57"
"上海西站","20XZ_SHXZ00","2014-08-05 11:00:00","35.00"
"田林","20XZ_TL0000","2014-08-05 11:00:00","42.69"
"五角场","20XZ_WJC000","2014-08-05 11:00:00","34.53"
"新华医院","20XZ_XHYY00","2014-08-05 11:00:00","37.30"
"延吉新村","20XZ_YJXC00","2014-08-05 11:00:00","27.54"
"杨树浦","20XZ_YSP000","2014-08-05 11:00:00","36.68"
"闸北公园","20XZ_ZBGY00","2014-08-05 11:00:00","38.67"
"total","total","2014-08-05 11:00:00","34.65"
"花木","20DN_HM0000","2014-08-05 11:30:00","22.65"
"田林","20XZ_TL0000","2014-08-16 23:20:00","24.57"
"五角场","20XZ_WJC000","2014-08-16 23:20:00","23.50"
"新华医院","20XZ_XHYY00","2014-08-16 23:20:00","27.22"
"延吉新村","20XZ_YJXC00","2014-08-16 23:20:00","21.56"
"杨树浦","20XZ_YSP000","2014-08-16 23:20:00","30.87"
"闸北公园","20XZ_ZBGY00","2014-08-16 23:20:00","28.23"
"total","total","2014-08-16 23:20:00","26.64"
"城隍庙","20XN_CHM000","2014-08-20 9:20:00","35.04"
"曹家渡","20XN_CJD000","2014-08-20 9:20:00","44.42"
"大柏树","20XN_DBS000","2014-08-20 9:20:00","44.52"
"第九人民医院","20XN_DJRMYY","2014-08-20 9:20:00","39.11"
"打浦桥","20XN_DPQ000","2014-08-20 9:20:00","40.25"
"虹口足球场","20XN_HKZQC0","2014-08-20 9:20:00","44.66"
"静安寺","20XN_JAS000","2014-08-20 9:20:00","49.11"
"老北站","20XN_LBZ000","2014-08-20 9:20:00","41.61"
"梅陇镇","20XN_MLZ000","2014-08-20 9:20:00","49.55"
"南京路商圈","20XN_NJLSQ0","2014-08-20 9:20:00","39.85"
"花木","20DN_HM0000","2014-08-04 19:30:00","24.27"
"陆家嘴","20DN_LJZ000","2014-08-04 19:30:00","34.78"
"南码头","20DN_NMT000","2014-08-04 19:30:00","31.16"
"源深体育中心","20DN_YSTYZX","2014-08-04 19:30:00","30.94"
"金桥","20DW_JQ0000","2014-08-04 19:30:00","20.59"
"金杨","20DW_JY0000","2014-08-04 19:30:00","28.66"
"外高桥","20DW_WGQ000","2014-08-04 19:30:00","24.74"
"北蔡","20DZ_BC0000","2014-08-04 19:30:00","23.84"
"上钢新村","20DZ_SGXC00","2014-08-04 19:30:00","26.01"
"三林","20DZ_SL0000","2014-08-04 19:30:00","29.93"
"张江","20DZ_ZJ0000","2014-08-04 19:30:00","20.76"
"周家渡","20DZ_ZJD000","2014-08-04 19:30:00","31.08"
"城隍庙","20XN_CHM000","2014-08-04 19:30:00","32.45"
"曹家渡","20XN_CJD000","2014-08-04 19:30:00","42.38"
"大柏树","20XN_DBS000","2014-08-04 19:30:00","31.92"
"第九人民医院","20XN_DJRMYY","2014-08-04 19:30:00","25.47"
"打浦桥","20XN_DPQ000","2014-08-04 19:30:00","33.30"
"虹口足球场","20XN_HKZQC0","2014-08-04 19:30:00","38.21"
"静安寺","20XN_JAS000","2014-08-04 19:30:00","45.17"
"老北站","20XN_LBZ000","2014-08-04 19:30:00","35.17"
"梅陇镇","20XN_MLZ000","2014-08-04 19:30:00","42.99"
"南京路商圈","20XN_NJLSQ0","2014-08-04 19:30:00","35.50"
"瑞虹新城","20XN_RHXC00","2014-08-04 19:30:00","37.09"
"瑞金医院","20XN_RJYY00","2014-08-04 19:30:00","43.96"
"花木","20DN_HM0000","2014-08-23 12:20:00","23.97"
"陆家嘴","20DN_LJZ000","2014-08-23 12:20:00","31.32"
"南码头","20DN_NMT000","2014-08-23 12:20:00","28.40"
"源深体育中心","20DN_YSTYZX","2014-08-23 12:20:00","31.18"
"金桥","20DW_JQ0000","2014-08-23 12:20:00","25.03"
"金杨","20DW_JY0000","2014-08-23 12:20:00","27.74"
"外高桥","20DW_WGQ000","2014-08-23 12:20:00","24.30"
"北蔡","20DZ_BC0000","2014-08-23 12:20:00","26.06"
"上钢新村","20DZ_SGXC00","2014-08-23 12:20:00","28.28"
"三林","20DZ_SL0000","2014-08-23 12:20:00","27.49"
"张江","20DZ_ZJ0000","2014-08-23 12:20:00","18.37"
"周家渡","20DZ_ZJD000","2014-08-23 12:20:00","28.24"
"城隍庙","20XN_CHM000","2014-08-23 12:20:00","30.43"
"曹家渡","20XN_CJD000","2014-08-23 12:20:00","35.27"
"大柏树","20XN_DBS000","2014-08-23 12:20:00","32.72"
"第九人民医院","20XN_DJRMYY","2014-08-23 12:20:00","28.72"
"打浦桥","20XN_DPQ000","2014-08-23 12:20:00","35.32"
"虹口足球场","20XN_HKZQC0","2014-08-23 12:20:00","36.47"
"静安寺","20XN_JAS000","2014-08-23 12:20:00","44.31"
"瑞虹新城","20XN_RHXC00","2014-08-20 9:20:00","54.48"
"瑞金医院","20XN_RJYY00","2014-08-20 9:20:00","51.90"
"人民广场","20XN_RMGC00","2014-08-20 9:20:00","47.05"
"四川北路商圈","20XN_SCBLSQ","2014-08-20 9:20:00","49.96"
"上海火车站","20XN_SHHCZ0","2014-08-20 9:20:00","46.03"
"上海卷烟厂","20XN_SHJYC0","2014-08-20 9:20:00","37.53"
"上海影城","20XN_SHYC00","2014-08-20 9:20:00","47.85"
"十六铺","20XN_SLP000","2014-08-20 9:20:00","29.16"
"同济大学","20XN_TJDX00","2014-08-20 9:20:00","42.34"
"提蓝桥","20XN_TLQ000","2014-08-20 9:20:00","40.98"
"五官科医院","20XN_WGKYY0","2014-08-20 9:20:00","53.82"
"徐家汇","20XN_XJH00","2014-08-20 9:20:00","46.17"
"新天地","20XN_XTD000","2014-08-20 9:20:00","46.87"
"中山公园","20XN_ZSGY00","2014-08-20 9:20:00","46.68"
"大木桥","20XN_ZSYY00","2014-08-20 9:20:00","44.85"
"中远两湾城","20XN_ZYLWC0","2014-08-20 9:20:00","45.84"
"北新泾","20XW_BXJ000","2014-08-20 9:20:00","46.75"
"漕河泾","20XW_CHJ000","2014-08-20 9:20:00","48.00"
"共和新村","20XW_GHXC00","2014-08-20 9:20:00","41.40"
"江湾体育场","20XW_JWTYC0","2014-08-20 9:20:00","24.22"
"江湾镇","20XW_JWZC00","2014-08-20 9:20:00","42.97"
"龙柏","20XW_LB0000","2014-08-20 9:20:00","49.97"
"梅陇","20XW_ML0000","2014-08-20 9:20:00","42.73"
"祁连山路","20XW_QLSL00","2014-08-20 9:20:00","40.88"
"上海大学","20XW_SHDX00","2014-08-20 9:20:00","38.33"
"淞南","20XW_SN0000","2014-08-20 9:20:00","34.68"
"新江湾城","20XW_XJWC00","2014-08-20 9:20:00","12.92"
"殷行","20XW_YH0000","2014-08-20 9:20:00","30.75"
"张庙","20XW_ZM0000","2014-08-20 9:20:00","27.40"
"曹杨新村","20XZ_CY0000","2014-08-20 9:20:00","43.87"
"大场","20XZ_DC0000","2014-08-20 9:20:00","43.52"
"大宁","20XZ_DN0000","2014-08-20 9:20:00","39.81"
"古北","20XZ_GB0000","2014-08-20 9:20:00","44.62"
"华东理工","20XZ_HDLG00","2014-08-20 9:20:00","37.07"
"虹桥开发区","20XZ_HQKFQ0","2014-08-20 9:20:00","48.32"
"沪太","20XZ_HT0000","2014-08-20 9:20:00","52.27"
"龙华","20XZ_LH0000","2014-08-20 9:20:00","37.52"
"上海南站","20XZ_SHNZ00","2014-08-20 9:20:00","45.65"
"上海师大","20XZ_SHSD00","2014-08-20 9:20:00","42.92"
"上海西站","20XZ_SHXZ00","2014-08-20 9:20:00","43.12"
"田林","20XZ_TL0000","2014-08-20 9:20:00","50.93"
"五角场","20XZ_WJC000","2014-08-20 9:20:00","43.15"
"新华医院","20XZ_XHYY00","2014-08-20 9:20:00","42.22"
"延吉新村","20XZ_YJXC00","2014-08-20 9:20:00","29.44"
"杨树浦","20XZ_YSP000","2014-08-20 9:20:00","36.08"
"闸北公园","20XZ_ZBGY00","2014-08-20 9:20:00","47.98"
"total","total","2014-08-20 9:20:00","40.64"
"祁连山路","20XW_QLSL00","2014-08-20 11:00:00","33.67"
"上海大学","20XW_SHDX00","2014-08-20 11:00:00","27.15"
"淞南","20XW_SN0000","2014-08-20 11:00:00","30.21"
"新江湾城","20XW_XJWC00","2014-08-20 11:00:00","16.35"
"殷行","20XW_YH0000","2014-08-20 11:00:00","27.56"
"张庙","20XW_ZM0000","2014-08-20 11:00:00","22.68"
"曹杨新村","20XZ_CY0000","2014-08-20 11:00:00","41.57"
"大场","20XZ_DC0000","2014-08-20 11:00:00","32.63"
"大宁","20XZ_DN0000","2014-08-20 11:00:00","28.41"
"古北","20XZ_GB0000","2014-08-20 11:00:00","39.47"
"上钢新村","20DZ_SGXC00","2014-08-05 11:00:00","22.68"
"三林","20DZ_SL0000","2014-08-05 11:00:00","28.11"
"张江","20DZ_ZJ0000","2014-08-05 11:00:00","20.63"
"周家渡","20DZ_ZJD000","2014-08-05 11:00:00","29.56"
"城隍庙","20XN_CHM000","2014-08-05 11:00:00","34.64"
"曹家渡","20XN_CJD000","2014-08-05 11:00:00","44.91"
"大柏树","20XN_DBS000","2014-08-05 11:00:00","36.70"
"第九人民医院","20XN_DJRMYY","2014-08-05 11:00:00","33.10"
"打浦桥","20XN_DPQ000","2014-08-05 11:00:00","37.39"
"虹口足球场","20XN_HKZQC0","2014-08-05 11:00:00","38.65"
"静安寺","20XN_JAS000","2014-08-05 11:00:00","49.73"
"老北站","20XN_LBZ000","2014-08-05 11:00:00","33.00"
"梅陇镇","20XN_MLZ000","2014-08-05 11:00:00","45.86"
"南京路商圈","20XN_NJLSQ0","2014-08-05 11:00:00","39.43"
"瑞虹新城","20XN_RHXC00","2014-08-05 11:00:00","38.52"
"瑞金医院","20XN_RJYY00","2014-08-05 11:00:00","55.03"
"人民广场","20XN_RMGC00","2014-08-05 11:00:00","41.86"
"四川北路商圈","20XN_SCBLSQ","2014-08-05 11:00:00","41.36"
"上海火车站","20XN_SHHCZ0","2014-08-05 11:00:00","33.52"
"上海卷烟厂","20XN_SHJYC0","2014-08-05 11:00:00","33.06"
"上海影城","20XN_SHYC00","2014-08-05 11:00:00","47.61"
"花木","20DN_HM0000","2014-08-16 16:40:00","23.18"
"陆家嘴","20DN_LJZ000","2014-08-16 16:40:00","35.74"
"南码头","20DN_NMT000","2014-08-16 16:40:00","30.29"
"源深体育中心","20DN_YSTYZX","2014-08-16 16:40:00","30.46"
"金桥","20DW_JQ0000","2014-08-16 16:40:00","21.81"
"金杨","20DW_JY0000","2014-08-16 16:40:00","29.81"
"外高桥","20DW_WGQ000","2014-08-16 16:40:00","25.80"
"北蔡","20DZ_BC0000","2014-08-16 16:40:00","26.63"
"上钢新村","20DZ_SGXC00","2014-08-16 16:40:00","23.07"
"三林","20DZ_SL0000","2014-08-16 16:40:00","30.65"
"张江","20DZ_ZJ0000","2014-08-16 16:40:00","18.86"
"周家渡","20DZ_ZJD000","2014-08-16 16:40:00","28.83"
"城隍庙","20XN_CHM000","2014-08-16 16:40:00","40.76"
"曹家渡","20XN_CJD000","2014-08-16 16:40:00","44.61"
"大柏树","20XN_DBS000","2014-08-16 16:40:00","39.02"
"第九人民医院","20XN_DJRMYY","2014-08-16 16:40:00","33.75"
"打浦桥","20XN_DPQ000","2014-08-16 16:40:00","38.75"
"虹口足球场","20XN_HKZQC0","2014-08-16 16:40:00","42.91"
"静安寺","20XN_JAS000","2014-08-16 16:40:00","53.26"
"老北站","20XN_LBZ000","2014-08-16 16:40:00","36.01"
"梅陇镇","20XN_MLZ000","2014-08-16 16:40:00","51.64"
"南京路商圈","20XN_NJLSQ0","2014-08-16 16:40:00","42.57"
"瑞虹新城","20XN_RHXC00","2014-08-16 16:40:00","35.33"
"瑞金医院","20XN_RJYY00","2014-08-16 16:40:00","60.34"
"人民广场","20XN_RMGC00","2014-08-16 16:40:00","48.53"
"四川北路商圈","20XN_SCBLSQ","2014-08-16 16:40:00","39.77"
"上海火车站","20XN_SHHCZ0","2014-08-16 16:40:00","37.05"
"上海卷烟厂","20XN_SHJYC0","2014-08-16 16:40:00","31.04"
"上海影城","20XN_SHYC00","2014-08-16 16:40:00","46.69"
"十六铺","20XN_SLP000","2014-08-16 16:40:00","27.59"
"同济大学","20XN_TJDX00","2014-08-16 16:40:00","36.57"
"提蓝桥","20XN_TLQ000","2014-08-16 16:40:00","31.52"
"五官科医院","20XN_WGKYY0","2014-08-16 16:40:00","57.67"
"徐家汇","20XN_XJH00","2014-08-16 16:40:00","45.15"
"新天地","20XN_XTD000","2014-08-16 16:40:00","50.23"
"中山公园","20XN_ZSGY00","2014-08-16 16:40:00","42.88"
"大木桥","20XN_ZSYY00","2014-08-16 16:40:00","35.97"
"中远两湾城","20XN_ZYLWC0","2014-08-16 16:40:00","42.04"
"北新泾","20XW_BXJ000","2014-08-16 16:40:00","36.32"
"漕河泾","20XW_CHJ000","2014-08-16 16:40:00","39.38"
"共和新村","20XW_GHXC00","2014-08-16 16:40:00","40.09"
"江湾体育场","20XW_JWTYC0","2014-08-16 16:40:00","28.60"
"江湾镇","20XW_JWZC00","2014-08-16 16:40:00","34.57"
"龙柏","20XW_LB0000","2014-08-16 16:40:00","46.47"
"梅陇","20XW_ML0000","2014-08-16 16:40:00","38.84"
"祁连山路","20XW_QLSL00","2014-08-16 16:40:00","32.68"
"上海大学","20XW_SHDX00","2014-08-16 16:40:00","39.49"
"淞南","20XW_SN0000","2014-08-16 16:40:00","32.51"
"新江湾城","20XW_XJWC00","2014-08-16 16:40:00","14.62"
"殷行","20XW_YH0000","2014-08-16 16:40:00","32.96"
"张庙","20XW_ZM0000","2014-08-16 16:40:00","26.33"
"曹杨新村","20XZ_CY0000","2014-08-16 16:40:00","44.87"
"大场","20XZ_DC0000","2014-08-16 16:40:00","38.51"
"大宁","20XZ_DN0000","2014-08-16 16:40:00","28.30"
"古北","20XZ_GB0000","2014-08-16 16:40:00","39.54"
"华东理工","20XZ_HDLG00","2014-08-16 16:40:00","34.27"
"虹桥开发区","20XZ_HQKFQ0","2014-08-16 16:40:00","37.42"
"沪太","20XZ_HT0000","2014-08-16 16:40:00","40.60"
"龙华","20XZ_LH0000","2014-08-16 16:40:00","30.50"
"上海南站","20XZ_SHNZ00","2014-08-16 16:40:00","34.95"
"虹口足球场","20XN_HKZQC0","2014-08-22 13:20:00","33.88"
"静安寺","20XN_JAS000","2014-08-22 13:20:00","44.81"
"老北站","20XN_LBZ000","2014-08-22 13:20:00","29.99"
"梅陇镇","20XN_MLZ000","2014-08-22 13:20:00","40.40"
"南京路商圈","20XN_NJLSQ0","2014-08-22 13:20:00","36.26"
"瑞虹新城","20XN_RHXC00","2014-08-22 13:20:00","33.35"
"瑞金医院","20XN_RJYY00","2014-08-22 13:20:00","45.45"
"人民广场","20XN_RMGC00","2014-08-22 13:20:00","37.98"
"四川北路商圈","20XN_SCBLSQ","2014-08-22 13:20:00","37.51"
"上海火车站","20XN_SHHCZ0","2014-08-22 13:20:00","35.47"
"上海卷烟厂","20XN_SHJYC0","2014-08-22 13:20:00","28.71"
"上海影城","20XN_SHYC00","2014-08-22 13:20:00","39.42"
"十六铺","20XN_SLP000","2014-08-22 13:20:00","19.11"
"同济大学","20XN_TJDX00","2014-08-22 13:20:00","32.22"
"提蓝桥","20XN_TLQ000","2014-08-22 13:20:00","29.00"
"五官科医院","20XN_WGKYY0","2014-08-22 13:20:00","45.78"
"徐家汇","20XN_XJH00","2014-08-22 13:20:00","39.17"
"新天地","20XN_XTD000","2014-08-22 13:20:00","40.35"
"中山公园","20XN_ZSGY00","2014-08-22 13:20:00","39.26"
"大木桥","20XN_ZSYY00","2014-08-22 13:20:00","37.27"
"中远两湾城","20XN_ZYLWC0","2014-08-22 13:20:00","36.60"
"北新泾","20XW_BXJ000","2014-08-22 13:20:00","30.54"
"漕河泾","20XW_CHJ000","2014-08-22 13:20:00","34.28"
"共和新村","20XW_GHXC00","2014-08-22 13:20:00","32.73"
"江湾体育场","20XW_JWTYC0","2014-08-22 13:20:00","17.38"
"江湾镇","20XW_JWZC00","2014-08-22 13:20:00","27.44"
"龙柏","20XW_LB0000","2014-08-22 13:20:00","35.46"
"梅陇","20XW_ML0000","2014-08-22 13:20:00","27.67"
"祁连山路","20XW_QLSL00","2014-08-22 13:20:00","26.76"
"上海大学","20XW_SHDX00","2014-08-22 13:20:00","28.00"
"淞南","20XW_SN0000","2014-08-22 13:20:00","33.15"
"新江湾城","20XW_XJWC00","2014-08-22 13:20:00","12.27"
"殷行","20XW_YH0000","2014-08-22 13:20:00","24.04"
"张庙","20XW_ZM0000","2014-08-22 13:20:00","28.68"
"曹杨新村","20XZ_CY0000","2014-08-22 13:20:00","35.08"
"大场","20XZ_DC0000","2014-08-22 13:20:00","31.54"
"大宁","20XZ_DN0000","2014-08-22 13:20:00","22.70"
"古北","20XZ_GB0000","2014-08-22 13:20:00","34.67"
"华东理工","20XZ_HDLG00","2014-08-22 13:20:00","29.85"
"虹桥开发区","20XZ_HQKFQ0","2014-08-22 13:20:00","33.85"
"沪太","20XZ_HT0000","2014-08-22 13:20:00","34.47"
"龙华","20XZ_LH0000","2014-08-22 13:20:00","27.33"
"上海南站","20XZ_SHNZ00","2014-08-22 13:20:00","35.28"
"上海师大","20XZ_SHSD00","2014-08-22 13:20:00","33.60"
"上海西站","20XZ_SHXZ00","2014-08-22 13:20:00","32.67"
"田林","20XZ_TL0000","2014-08-22 13:20:00","35.04"
"五角场","20XZ_WJC000","2014-08-22 13:20:00","31.98"
"新华医院","20XZ_XHYY00","2014-08-22 13:20:00","32.32"
"延吉新村","20XZ_YJXC00","2014-08-22 13:20:00","29.14"
"杨树浦","20XZ_YSP000","2014-08-22 13:20:00","30.56"
"闸北公园","20XZ_ZBGY00","2014-08-22 13:20:00","34.10"
"total","total","2014-08-22 13:20:00","31.49"
"殷行","20XW_YH0000","2014-08-19 12:40:00","21.43"
"张庙","20XW_ZM0000","2014-08-19 12:40:00","24.77"
"曹杨新村","20XZ_CY0000","2014-08-19 12:40:00","36.76"
"大场","20XZ_DC0000","2014-08-19 12:40:00","32.87"
"大宁","20XZ_DN0000","2014-08-19 12:40:00","24.36"
"古北","20XZ_GB0000","2014-08-19 12:40:00","37.99"
"花木","20DN_HM0000","2014-08-17 8:40:00","20.81"
"陆家嘴","20DN_LJZ000","2014-08-17 8:40:00","28.60"
"南码头","20DN_NMT000","2014-08-17 8:40:00","28.41"
"源深体育中心","20DN_YSTYZX","2014-08-17 8:40:00","23.96"
"金桥","20DW_JQ0000","2014-08-17 8:40:00","21.56"
"金杨","20DW_JY0000","2014-08-17 8:40:00","27.88"
"外高桥","20DW_WGQ000","2014-08-17 8:40:00","31.35"
"北蔡","20DZ_BC0000","2014-08-17 8:40:00","20.54"
"上钢新村","20DZ_SGXC00","2014-08-17 8:40:00","23.33"
"三林","20DZ_SL0000","2014-08-17 8:40:00","26.61"
"张江","20DZ_ZJ0000","2014-08-17 8:40:00","14.76"
"周家渡","20DZ_ZJD000","2014-08-17 8:40:00","29.33"
"城隍庙","20XN_CHM000","2014-08-17 8:40:00","24.26"
"曹家渡","20XN_CJD000","2014-08-17 8:40:00","30.85"
"大柏树","20XN_DBS000","2014-08-17 8:40:00","26.73"
"第九人民医院","20XN_DJRMYY","2014-08-17 8:40:00","26.03"
"打浦桥","20XN_DPQ000","2014-08-17 8:40:00","26.30"
"虹口足球场","20XN_HKZQC0","2014-08-17 8:40:00","30.43"
"静安寺","20XN_JAS000","2014-08-17 8:40:00","34.29"
"老北站","20XN_LBZ000","2014-08-17 8:40:00","25.86"
"梅陇镇","20XN_MLZ000","2014-08-17 8:40:00","30.33"
"南京路商圈","20XN_NJLSQ0","2014-08-17 8:40:00","24.66"
"瑞虹新城","20XN_RHXC00","2014-08-17 8:40:00","27.53"
"瑞金医院","20XN_RJYY00","2014-08-17 8:40:00","33.19"
"人民广场","20XN_RMGC00","2014-08-17 8:40:00","26.83"
"四川北路商圈","20XN_SCBLSQ","2014-08-17 8:40:00","28.52"
"上海火车站","20XN_SHHCZ0","2014-08-17 8:40:00","27.19"
"上海卷烟厂","20XN_SHJYC0","2014-08-17 8:40:00","27.77"
"上海影城","20XN_SHYC00","2014-08-17 8:40:00","29.84"
"十六铺","20XN_SLP000","2014-08-17 8:40:00","21.00"
"total","total","2014-08-20 4:00:00","29.21"
"上海南站","20XZ_SHNZ00","2014-08-04 19:30:00","34.25"
"上海师大","20XZ_SHSD00","2014-08-04 19:30:00","31.55"
"上海西站","20XZ_SHXZ00","2014-08-04 19:30:00","37.80"
"田林","20XZ_TL0000","2014-08-04 19:30:00","39.26"
"五角场","20XZ_WJC000","2014-08-04 19:30:00","33.25"
"新华医院","20XZ_XHYY00","2014-08-04 19:30:00","35.24"
"延吉新村","20XZ_YJXC00","2014-08-04 19:30:00","32.40"
"杨树浦","20XZ_YSP000","2014-08-04 19:30:00","31.98"
"闸北公园","20XZ_ZBGY00","2014-08-04 19:30:00","38.50"
"total","total","2014-08-04 19:30:00","33.43"
"花木","20DN_HM0000","2014-08-20 4:00:00","29.64"
"沪太","20XZ_HT0000","2014-08-04 10:00:00","41.47"
"龙华","20XZ_LH0000","2014-08-04 10:00:00","30.73"
"上海南站","20XZ_SHNZ00","2014-08-04 10:00:00","35.79"
"上海师大","20XZ_SHSD00","2014-08-04 10:00:00","34.96"
"上海西站","20XZ_SHXZ00","2014-08-04 10:00:00","35.66"
"田林","20XZ_TL0000","2014-08-04 10:00:00","44.20"
"五角场","20XZ_WJC000","2014-08-04 10:00:00","36.01"
"新华医院","20XZ_XHYY00","2014-08-04 10:00:00","34.91"
"延吉新村","20XZ_YJXC00","2014-08-04 10:00:00","33.43"
"杨树浦","20XZ_YSP000","2014-08-04 10:00:00","40.24"
"闸北公园","20XZ_ZBGY00","2014-08-04 10:00:00","41.22"
"total","total","2014-08-04 10:00:00","35.99"
"大宁","20XZ_DN0000","2014-08-20 1:30:00","21.53"
"古北","20XZ_GB0000","2014-08-20 1:30:00","27.31"
"华东理工","20XZ_HDLG00","2014-08-20 1:30:00","29.81"
"虹桥开发区","20XZ_HQKFQ0","2014-08-20 1:30:00","23.23"
"沪太","20XZ_HT0000","2014-08-20 1:30:00","24.98"
"龙华","20XZ_LH0000","2014-08-20 1:30:00","31.04"
"上海南站","20XZ_SHNZ00","2014-08-20 1:30:00","27.54"
"上海师大","20XZ_SHSD00","2014-08-20 1:30:00","33.52"
"上海西站","20XZ_SHXZ00","2014-08-20 1:30:00","23.80"
"田林","20XZ_TL0000","2014-08-20 1:30:00","25.33"
"五角场","20XZ_WJC000","2014-08-20 1:30:00","26.44"
"新华医院","20XZ_XHYY00","2014-08-20 1:30:00","28.81"
"延吉新村","20XZ_YJXC00","2014-08-20 1:30:00","30.88"
"杨树浦","20XZ_YSP000","2014-08-20 1:30:00","35.98"
"闸北公园","20XZ_ZBGY00","2014-08-20 1:30:00","26.46"
"total","total","2014-08-20 1:30:00","26.48"
"陆家嘴","20DN_LJZ000","2014-08-20 4:00:00","30.04"
"南码头","20DN_NMT000","2014-08-20 4:00:00","37.23"
"源深体育中心","20DN_YSTYZX","2014-08-20 4:00:00","38.54"
"金桥","20DW_JQ0000","2014-08-20 4:00:00","25.41"
"金杨","20DW_JY0000","2014-08-20 4:00:00","31.97"
"外高桥","20DW_WGQ000","2014-08-20 4:00:00","26.12"
"北蔡","20DZ_BC0000","2014-08-20 4:00:00","35.24"
"上钢新村","20DZ_SGXC00","2014-08-20 4:00:00","30.98"
"三林","20DZ_SL0000","2014-08-20 4:00:00","37.58"
"张江","20DZ_ZJ0000","2014-08-20 4:00:00","14.24"
"周家渡","20DZ_ZJD000","2014-08-20 4:00:00","36.32"
"城隍庙","20XN_CHM000","2014-08-20 4:00:00","32.37"
"曹家渡","20XN_CJD000","2014-08-20 4:00:00","26.91"
"大柏树","20XN_DBS000","2014-08-20 4:00:00","26.54"
"第九人民医院","20XN_DJRMYY","2014-08-20 4:00:00","25.41"
"打浦桥","20XN_DPQ000","2014-08-20 4:00:00","25.97"
"虹口足球场","20XN_HKZQC0","2014-08-20 4:00:00","26.84"
"静安寺","20XN_JAS000","2014-08-20 4:00:00","32.66"
"老北站","20XN_LBZ000","2014-08-20 4:00:00","23.93"
"梅陇镇","20XN_MLZ000","2014-08-20 4:00:00","34.18"
"南京路商圈","20XN_NJLSQ0","2014-08-20 4:00:00","20.15"
"瑞虹新城","20XN_RHXC00","2014-08-20 4:00:00","31.29"
"瑞金医院","20XN_RJYY00","2014-08-20 4:00:00","28.61"
"人民广场","20XN_RMGC00","2014-08-20 4:00:00","23.64"
"四川北路商圈","20XN_SCBLSQ","2014-08-20 4:00:00","33.71"
"上海火车站","20XN_SHHCZ0","2014-08-20 4:00:00","29.53"
"上海卷烟厂","20XN_SHJYC0","2014-08-20 4:00:00","29.58"
"上海影城","20XN_SHYC00","2014-08-20 4:00:00","29.39"
"十六铺","20XN_SLP000","2014-08-20 4:00:00","22.83"
"同济大学","20XN_TJDX00","2014-08-20 4:00:00","21.92"
"提蓝桥","20XN_TLQ000","2014-08-20 4:00:00","29.62"
