时间	PM2.5	PM10	O3	SO2	NO2	CO	AQI	质量评价	首要污染物
2014/7/17 9:00	20	27	27	12	25	0.6	38	优	PM10
2014/7/17 10:00	19	50	50	12	26	0.6	42	优	PM10
2014/7/17 11:00	26	82	82	11	24	0.5	45	优	PM10
2014/7/17 12:00	21	102	102	11	21	0.5	43	优	PM10
2014/7/17 13:00	30	130	130	11	20	0.5	44	优	PM10
2014/7/17 14:00	32	133	133	11	19	0.5	51	良	PM10
2014/7/17 15:00	28	137	137	12	19	0.5	55	良	PM10
2014/7/17 16:00	28	133	133	12	20	0.5	58	良	PM10
2014/7/17 17:00	29	103	103	9	21	0.5	61	良	PM10
2014/7/17 18:00	23	77	77	8	20	0.5	51	良	PM10
2014/7/17 19:00	18	51	51	7	24	0.5	40	优	PM10
2014/7/17 20:00	16	35	35	7	23	0.4	36	优	PM10
2014/7/17 21:00	18	23	23	7	24	0.4	37	优	PM10
2014/7/17 22:00	16	19	19	7	22	0.4	35	优	PM10
2014/7/17 23:00	14	18	18	6	19	0.4	25	优	PM10
2014/7/18 0:00	14	20	20	6	14	0.4	20	优	PM2.5
2014/7/18 1:00	12	20	20	7	10	0.4	19	优	PM10
2014/7/18 2:00	12	21	21	7	12	0.3	22	优	PM10
2014/7/18 3:00	11	17	17	8	14	0.4	20	优	PM10
2014/7/18 4:00	12	15	15	8	16	0.4	19	优	PM10
2014/7/18 5:00	13	12	12	9	16	0.4	24	优	PM10
2014/7/18 6:00	16	11	11	10	17	0.4	24	优	PM10
2014/7/18 7:00	12	12	12	10	16	0.5	25	优	PM10
2014/7/18 8:00	14	12	12	10	19	0.5	33	优	PM10
2014/7/18 9:00	15	18	18	11	19	0.6	33	优	PM10
2014/7/18 10:00	17	28	28	11	19	0.5	29	优	PM10
2014/7/18 11:00	21	54	54	11	20	0.5	30	优	PM2.5
2014/7/18 12:00	21	81	81	10	21	0.5	30	优	PM2.5
2014/7/18 13:00	21	99	99	11	23	0.5	41	优	PM10
2014/7/18 14:00	25	100	100	11	23	0.5	47	优	PM10
2014/7/18 15:00	25	100	100	9	23	0.5	49	优	PM10
2014/7/18 16:00	25	109	109	9	24	0.5	53	良	PM10
2014/7/18 17:00	25	104	104	8	24	0.5	68	良	PM10
2014/7/18 18:00	25	73	73	8	26	0.5	61	良	PM10
2014/7/18 19:00	22	48	48	7	27	0.5	53	良	PM10
2014/7/18 20:00	19	29	29	8	29	0.4	44	优	PM10
2014/7/18 21:00	18	22	22	8	25	0.4	37	优	PM10
2014/7/18 22:00	17	18	18	8	24	0.4	32	优	PM10
2014/7/18 23:00	13	20	20	7	19	0.4	23	优	PM10
2014/7/19 0:00	12	20	20	8	17	0.4	21	优	PM10
2014/7/19 1:00	13	21	21	8	15	0.4	21	优	PM10
2014/7/19 2:00	13	20	20	9	16	0.4	19	优	PM2.5
2014/7/19 3:00	10	18	18	8	15	0.4	18	优	PM10
2014/7/19 4:00	11	16	16	8	15	0.4	19	优	PM10
2014/7/19 5:00	11	14	14	9	17	0.4	20	优	PM10
2014/7/19 6:00	13	11	11	9	18	0.5	24	优	PM10
2014/7/19 7:00	13	13	13	10	18	0.5	30	优	PM10
2014/7/19 8:00	17	13	13	11	19	0.5	36	优	PM10
2014/7/19 9:00	19	18	18	12	19	0.6	43	优	PM10
2014/7/19 10:00	21	27	27	11	22	0.6	50	优	PM10
2014/7/19 11:00	22	43	43	11	24	0.6	43	优	PM10
2014/7/19 12:00	25	67	67	12	26	0.6	48	优	PM10
2014/7/19 13:00	30	94	94	10	23	0.5	48	优	PM10
2014/7/19 14:00	31	111	111	10	21	0.5	45	优	PM2.5
2014/7/19 15:00	31	119	119	11	25	0.5	55	良	PM10
2014/7/19 16:00	34	134	134	13	28	0.6	63	良	PM10
2014/7/19 17:00	38	130	130	12	31	0.6	73	良	PM10
2014/7/19 18:00	39	106	106	9	33	0.6	58	良	PM10
2014/7/19 19:00	34	86	86	9	31	0.5	53	良	PM10
2014/7/19 20:00	28	60	60	9	31	0.5	55	良	PM10
2014/7/19 21:00	22	39	39	8	35	0.5	52	良	PM10
2014/7/19 22:00	24	25	25	8	40	0.5	50	优	PM10
2014/7/19 23:00	25	16	16	9	40	0.5	46	优	PM10
2014/7/20 0:00	24	12	12	9	36	0.5	35	优	PM2.5
2014/7/20 1:00	18	10	10	9	30	0.4	26	优	PM2.5
2014/7/20 2:00	14	14	14	9	25	0.4	27	优	PM10
2014/7/20 3:00	16	15	15	9	23	0.4	28	优	PM10
2014/7/20 4:00	17	15	15	8	23	0.4	32	优	PM10
2014/7/20 5:00	18	13	13	8	24	0.4	26	优	PM2.5
2014/7/20 6:00	17	13	13	9	24	0.4	27	优	PM10
2014/7/20 7:00	20	18	18	11	22	0.5	29	优	PM2.5
2014/7/20 8:00	22	27	27	12	23	0.5	39	优	PM10
2014/7/20 9:00	27	38	38	13	26	0.6	51	良	PM10
2014/7/20 10:00	30	69	69	13	23	0.5	51	良	PM10
2014/7/20 11:00	30	106	106	10	18	0.5	43	优	PM2.5
2014/7/20 12:00	31	131	131	10	16	0.5	45	优	PM2.5
2014/7/20 13:00	28	136	136	10	11	0.5	48	优	PM10
2014/7/20 14:00	27	127	127	8	11	0.4	40	优	O3
2014/7/20 15:00	27	122	122	8	12	0.4	39	优	PM2.5
2014/7/20 16:00	27	119	119	8	14	0.4	59	良	PM10
2014/7/20 17:00	27	110	110	8	17	0.5	56	良	PM10
2014/7/20 18:00	25	95	95	8	21	0.5	60	良	PM10
2014/7/20 19:00	25	80	80	8	22	0.5	52	良	PM10
2014/7/20 20:00	23	66	66	7	23	0.5	37	优	PM10
2014/7/20 21:00	19	48	48	7	23	0.5	28	优	PM2.5
2014/7/20 22:00	17	36	36	7	23	0.4	25	优	PM2.5
2014/7/20 23:00	16	29	29	7	23	0.4	23	优	PM2.5
2014/7/21 0:00	14	28	28	7	21	0.4	20	优	PM2.5
2014/7/21 1:00	14	28	28	7	17	0.3	20	优	PM2.5
2014/7/21 2:00	12	26	26	6	15	0.3	18	优	PM2.5
2014/7/21 3:00	11	27	27	7	15	0.3	16	优	PM2.5
2014/7/21 4:00	12	24	24	7	16	0.4	18	优	PM2.5
2014/7/21 5:00	14	21	21	7	19	0.5	20	优	PM2.5
2014/7/21 6:00	13	17	17	8	20	0.4	19	优	PM2.5
2014/7/21 7:00	15	19	19	8	20	0.5	24	优	PM10
2014/7/21 8:00	16	24	24	9	21	0.5	29	优	PM10
2014/7/21 9:00	23	34	34	10	24	0.5	39	优	PM10
2014/7/21 10:00	27	54	54	9	22	0.5	40	优	PM10
2014/7/21 11:00	26	92	92	8	18	0.5	38	优	PM2.5
2014/7/21 12:00	27	118	118	8	15	0.5	39	优	PM2.5
2014/7/21 13:00	31	124	124	8	13	0.4	45	优	PM2.5
2014/7/21 14:00	27	119	119	8	12	0.4	39	优	PM2.5
2014/7/21 15:00	23	122	122	8	13	0.4	39	优	O3
2014/7/21 16:00	24	123	123	9	14	0.4	42	优	PM10
2014/7/21 17:00	25	116	116	8	17	0.4	55	良	PM10
2014/7/21 18:00	26	107	107	8	21	0.5	60	良	PM10
2014/7/21 19:00	25	79	79	8	25	0.4	57	良	PM10
2014/7/21 20:00	24	53	53	7	29	0.5	51	良	PM10
2014/7/21 21:00	20	38	38	7	28	0.4	34	优	PM10
2014/7/21 22:00	15	23	23	7	26	0.4	25	优	PM10
2014/7/21 23:00	11	22	22	8	21	0.4	16	优	PM2.5
2014/7/22 0:00	12	26	26	7	18	0.4	19	优	PM10
2014/7/22 1:00	11	31	31	8	13	0.3	26	优	PM10
2014/7/22 2:00	11	32	32	8	14	0.3	24	优	PM10
2014/7/22 3:00	11	29	29	8	13	0.4	20	优	PM10
2014/7/22 4:00	10	26	26	8	14	0.4	21	优	PM10
2014/7/22 5:00	12	23	23	8	16	0.4	23	优	PM10
2014/7/22 6:00	12	20	20	8	18	0.4	25	优	PM10
2014/7/22 7:00	13	21	21	8	18	0.5	28	优	PM10
2014/7/22 8:00	16	27	27	10	19	0.5	26	优	PM10
2014/7/22 9:00	18	40	40	10	18	0.5	28	优	PM10
2014/7/22 10:00	18	56	56	13	23	0.5	27	优	PM10
2014/7/22 11:00	18	85	85	11	23	0.5	36	优	PM10
2014/7/22 12:00	22	105	105	12	20	0.5	40	优	PM10
2014/7/22 13:00	24	125	125	11	18	0.5	40	优	O3
2014/7/22 14:00	25	128	128	11	17	0.5	40	优	O3
2014/7/22 15:00	24	135	135	11	17	0.5	43	优	O3
2014/7/22 16:00	25	129	129	10	15	0.5	44	优	PM10
2014/7/22 17:00	23	120	120	8	17	0.5	58	良	PM10
2014/7/22 18:00	25	88	88	8	21	0.5	63	良	PM10
2014/7/22 19:00	21	57	57	7	22	0.5	58	良	PM10
2014/7/22 20:00	17	34	34	7	23	0.4	37	优	PM10
2014/7/22 21:00	12	26	26	7	24	0.4	31	优	PM10
2014/7/22 22:00	11	21	21	7	24	0.4	31	优	PM10
2014/7/22 23:00	11	21	21	7	22	0.4	32	优	PM10
2014/7/23 0:00	9	23	23	7	17	0.4	29	优	PM10
2014/7/23 1:00	12	20	20	7	16	0.4	25	优	PM10
2014/7/23 2:00	9	18	18	7	17	0.4	21	优	PM10
2014/7/23 3:00	9	18	18	7	17	0.4	21	优	PM10
2014/7/23 4:00	8	19	19	6	15	0.4	17	优	PM10
2014/7/23 5:00	8	15	15	6	18	0.4	20	优	PM10
2014/7/23 6:00	9	15	15	7	19	0.5	22	优	PM10
2014/7/23 7:00	12	19	19	7	17	0.6	31	优	PM10
2014/7/23 8:00	13	24	24	7	15	0.5	19	优	PM2.5
2014/7/23 9:00	17	34	34	7	14	0.5	25	优	PM2.5
2014/7/23 10:00	18	46	46	6	15	0.5	37	优	PM10
2014/7/23 11:00	16	62	62	6	11	0.4	25	优	PM10
2014/7/23 12:00	17	72	72	6	9	0.5	36	优	PM10
2014/7/23 13:00	20	69	69	5	9	0.5	36	优	PM10
2014/7/23 14:00	22	75	75	6	9	0.5	46	优	PM10
2014/7/23 15:00	20	72	72	6	10	0.5	55	良	PM10
2014/7/23 16:00	23	64	64	6	10	0.5	58	良	PM10
2014/7/23 17:00	23	60	60	6	10	0.5	60	良	PM10
2014/7/23 18:00	21	53	53	6	14	0.5	63	良	PM10
2014/7/23 19:00	22	44	44	6	17	0.5	65	良	PM10
2014/7/23 20:00	24	38	38	6	17	0.5	68	良	PM10
2014/7/23 21:00	22	32	32	6	17	0.5	58	良	PM10
2014/7/23 22:00	23	29	29	6	17	0.5	59	良	PM10
2014/7/23 23:00	19	27	27	6	16	0.5	56	良	PM10
2014/7/24 0:00	18	25	25	6	14	0.5	36	优	PM10
2014/7/24 1:00	18	24	24	7	11	0.4	33	优	PM10
2014/7/24 2:00	17	27	27	6	11	0.4	32	优	PM10
2014/7/24 3:00	13	30	30	6	8	0.4	28	优	PM10
2014/7/24 4:00	13	34	34	6	8	0.4	19	优	PM2.5
2014/7/24 5:00	13	36	36	6	9	0.4	19	优	PM2.5
2014/7/24 6:00	13	34	34	6	11	0.5	37	优	PM10
2014/7/24 7:00	15	34	34	6	15	0.5	48	优	PM10
2014/7/24 8:00	20	41	41	6	18	0.5	52	良	PM10
2014/7/24 9:00	21	47	47	6	17	0.6	55	良	PM10
2014/7/24 10:00	23	61	61	5	17	0.6	42	优	PM10
2014/7/24 11:00	26	76	76	6	12	0.5	38	优	PM2.5
2014/7/24 12:00	28	84	84	6	11	0.5	54	良	PM10
2014/7/24 13:00	27	83	83	7	10	0.4	58	良	PM10
2014/7/24 14:00	27	74	74	7	10	0.4	55	良	PM10
2014/7/24 15:00	26	64	64	6	10	0.4	63	良	PM10
2014/7/24 16:00	23	61	61	7	11	0.4	59	良	PM10
2014/7/24 17:00	23	62	62	6	13	0.4	52	良	PM10
2014/7/24 18:00	24	62	62	7	15	0.4	50	优	PM10
2014/7/24 19:00	22	68	68	7	14	0.4	52	良	PM10
2014/7/24 20:00	20	55	55	6	11	0.4	59	良	PM10
2014/7/24 21:00	21	58	58	6	10	0.4	57	良	PM10
2014/7/24 22:00	21	65	65	6	10	0.4	53	良	PM10
2014/7/24 23:00	19	68	68	7	11	0.4	43	优	PM10
2014/7/25 0:00	18	68	68	7	9	0.4	46	优	PM10
2014/7/25 1:00	18	60	60	8	8	0.3	46	优	PM10
2014/7/25 2:00	17	60	60	7	7	0.4	35	优	PM10
2014/7/25 3:00	15	60	60	8	8	0.4	31	优	PM10
2014/7/25 4:00	17	63	63	8	8	0.4	33	优	PM10
2014/7/25 5:00	19	65	65	7	8	0.4	37	优	PM10
2014/7/25 6:00	20	62	62	8	12	0.4	29	优	PM2.5
2014/7/25 7:00	18	58	58	8	18	0.5	37	优	PM10
2014/7/25 8:00	18	51	51	8	24	0.6	47	优	PM10
2014/7/25 9:00	16	56	56	8	25	0.6	51	良	PM10
2014/7/25 10:00	15	64	64	9	23	0.7	33	优	PM10
2014/7/25 11:00	15	64	64	8	25	0.7	25	优	PM10
2014/7/25 12:00	22	65	65	9	28	0.7	34	优	PM10
2014/7/25 13:00	24	76	76	11	29	0.7	44	优	PM10
2014/7/25 14:00	32	108	108	12	30	0.8	54	良	PM10
2014/7/25 15:00	40	126	126	13	33	0.8	68	良	PM10
2014/7/25 16:00	55	122	122	14	34	0.8	75	良	PM2.5
2014/7/25 17:00	62	114	114	15	40	0.9	87	良	PM10
2014/7/25 18:00	64	107	107	15	44	0.9	87	良	PM2.5
2014/7/25 19:00	60	98	98	14	48	0.9	82	良	PM2.5
2014/7/25 20:00	69	79	79	14	57	1	93	良	PM2.5
2014/7/25 21:00	77	70	70	15	54	1	103	轻度污染	PM2.5
2014/7/25 22:00	85	50	50	20	62	1.1	113	轻度污染	PM2.5
2014/7/25 23:00	106	52	52	21	54	1.1	139	轻度污染	PM2.5
2014/7/26 0:00	110	46	46	19	55	1.1	144	轻度污染	PM2.5
2014/7/26 1:00	106	28	28	27	62	1	139	轻度污染	PM2.5
2014/7/26 2:00	107	23	23	30	70	1.1	140	轻度污染	PM2.5
2014/7/26 3:00	108	21	21	31	63	1.2	142	轻度污染	PM2.5
2014/7/26 4:00	110	24	24	32	56	1.3	144	轻度污染	PM2.5
2014/7/26 5:00	111	33	33	26	47	1.3	145	轻度污染	PM2.5
2014/7/26 6:00	108	35	35	22	44	1.1	142	轻度污染	PM2.5
2014/7/26 7:00	102	41	41	20	44	1	134	轻度污染	PM2.5
2014/7/26 8:00	96	46	46	21	49	0.9	127	轻度污染	PM2.5
2014/7/26 9:00	90	50	50	20	51	1	119	轻度污染	PM2.5
2014/7/26 10:00	86	71	71	17	40	0.9	114	轻度污染	PM2.5
2014/7/26 11:00	81	93	93	13	34	0.9	108	轻度污染	PM2.5
2014/7/26 12:00	82	121	121	12	29	0.8	109	轻度污染	PM2.5
2014/7/26 13:00	83	151	151	12	22	0.8	110	轻度污染	PM2.5
2014/7/26 14:00	81	154	154	12	22	0.8	108	轻度污染	PM2.5
2014/7/26 15:00	80	130	130	11	26	0.8	107	轻度污染	PM2.5
2014/7/26 16:00	81	112	112	12	29	0.8	108	轻度污染	PM2.5
2014/7/26 17:00	90	106	106	13	30	0.8	119	轻度污染	PM2.5
2014/7/26 18:00	103	105	105	11	31	0.9	135	轻度污染	PM2.5
2014/7/26 19:00	104	105	105	10	32	0.9	137	轻度污染	PM2.5
2014/7/26 20:00	112	112	112	9	29	0.9	147	轻度污染	PM2.5
2014/7/26 21:00	112	113	113	9	29	0.8	147	轻度污染	PM2.5
2014/7/26 22:00	105	104	104	8	24	0.8	138	轻度污染	PM2.5
2014/7/26 23:00	84	95	95	8	23	0.7	112	轻度污染	PM2.5
2014/7/27 0:00	71	85	85	9	22	0.6	95	良	PM2.5
2014/7/27 1:00	65	76	76	11	23	0.5	88	良	PM2.5
2014/7/27 2:00	62	68	68	11	22	0.5	84	良	PM2.5
2014/7/27 3:00	61	62	62	12	24	0.6	83	良	PM2.5
2014/7/27 4:00	63	57	57	13	26	0.5	85	良	PM2.5
2014/7/27 5:00	62	53	53	13	27	0.6	84	良	PM2.5
2014/7/27 6:00	61	47	47	11	30	0.6	83	良	PM2.5
2014/7/27 7:00	63	37	37	13	41	0.7	85	良	PM2.5
2014/7/27 8:00	67	34	34	16	47	0.7	90	良	PM2.5
2014/7/27 9:00	69	32	32	20	50	0.8	93	良	PM2.5
2014/7/27 10:00	67	41	41	21	44	0.8	90	良	PM2.5
2014/7/27 11:00	57	57	57	17	39	0.8	78	良	PM2.5
2014/7/27 12:00	56	78	78	18	35	0.7	77	良	PM2.5
2014/7/27 13:00	51	101	101	15	29	0.6	70	良	PM2.5
2014/7/27 14:00	52	106	106	15	28	0.5	72	良	PM2.5
2014/7/27 15:00	44	97	97	16	23	0.5	62	良	PM2.5
2014/7/27 16:00	38	80	80	12	25	0.5	54	良	PM2.5
2014/7/27 17:00	37	68	68	13	34	0.6	53	良	PM2.5
2014/7/27 18:00	48	72	72	10	38	0.6	67	良	PM2.5
2014/7/27 19:00	51	78	78	10	36	0.6	70	良	PM2.5
2014/7/27 20:00	31	76	76	6	28	0.6	45	优	PM2.5
2014/7/27 21:00	11	60	60	6	39	0.6	20	优	NO2
2014/7/27 22:00	13	58	58	7	38	0.6	19	优	PM2.5
2014/7/27 23:00	16	43	43	7	45	0.7	23	优	PM2.5
2014/7/28 0:00	18	40	40	8	46	0.7	26	优	PM2.5
2014/7/28 1:00	18	49	49	10	34	0.6	26	优	PM2.5
2014/7/28 2:00	23	49	49	10	30	0.6	33	优	PM2.5
2014/7/28 3:00	27	55	55	11	26	0.6	39	优	PM2.5
2014/7/28 4:00	32	49	49	12	26	0.7	46	优	PM2.5
2014/7/28 5:00	39	35	35	13	32	0.7	55	良	PM2.5
2014/7/28 6:00	47	25	25	15	39	0.8	65	良	PM2.5
2014/7/28 7:00	49	29	29	15	42	0.8	68	良	PM2.5
2014/7/28 8:00	48	33	33	14	49	0.9	67	良	PM2.5
2014/7/28 9:00	48	50	50	13	50	0.9	67	良	PM2.5
2014/7/28 10:00	46	79	79	12	44	0.9	64	良	PM2.5
2014/7/28 11:00	43	105	105	11	41	0.9	60	良	PM2.5
2014/7/28 12:00	43	133	133	11	40	0.9	60	良	PM2.5
2014/7/28 13:00	48	166	166	14	39	1	67	良	PM2.5
2014/7/28 14:00	55	185	185	19	47	1.1	82	良	O3
2014/7/28 15:00	65	190	190	25	58	1.3	88	良	PM2.5
2014/7/28 16:00	72	179	179	30	68	1.3	97	良	PM2.5
2014/7/28 17:00	74	190	190	26	63	1.2	99	良	PM2.5
2014/7/28 18:00	74	184	184	17	49	1	99	良	PM2.5
2014/7/28 19:00	80	166	166	13	45	0.9	107	轻度污染	PM2.5
2014/7/28 20:00	89	164	164	13	39	0.8	118	轻度污染	PM2.5
2014/7/28 21:00	94	156	156	13	37	0.8	124	轻度污染	PM2.5
2014/7/28 22:00	89	142	142	13	33	0.8	118	轻度污染	PM2.5
2014/7/28 23:00	78	122	122	11	32	0.8	104	轻度污染	PM2.5
2014/7/29 0:00	71	104	104	11	33	0.8	95	良	PM2.5
2014/7/29 1:00	76	95	95	12	30	0.7	102	轻度污染	PM2.5
2014/7/29 2:00	79	81	81	11	27	0.7	105	轻度污染	PM2.5
2014/7/29 3:00	73	71	71	11	24	0.7	98	良	PM2.5
2014/7/29 4:00	71	57	57	12	23	0.7	95	良	PM2.5
2014/7/29 5:00	64	36	36	12	26	0.6	87	良	PM2.5
2014/7/29 6:00	53	20	20	12	32	0.6	73	良	PM2.5
2014/7/29 7:00	43	17	17	13	32	0.7	60	良	PM2.5
2014/7/29 8:00	35	24	24	14	33	0.7	50	优	PM2.5
2014/7/29 9:00	38	37	37	13	37	0.7	54	良	PM2.5
2014/7/29 10:00	46	70	70	12	33	0.7	64	良	PM2.5
2014/7/29 11:00	54	120	120	14	30	0.7	74	良	PM2.5
2014/7/29 12:00	53	163	163	14	26	0.6	73	良	PM2.5
2014/7/29 13:00	51	165	165	12	23	0.6	70	良	PM2.5
2014/7/29 14:00	45	153	153	12	20	0.6	63	良	PM2.5
2014/7/29 15:00	42	149	149	11	20	0.6	59	良	PM2.5
2014/7/29 16:00	35	149	149	11	21	0.5	50	优	PM2.5
2014/7/29 17:00	32	133	133	11	22	0.5	56	良	PM10
2014/7/29 18:00	32	109	109	10	25	0.5	50	优	PM10
2014/7/29 19:00	29	74	74	9	27	0.5	42	优	PM2.5
2014/7/29 20:00	22	51	51	8	26	0.5	41	优	PM10
2014/7/29 21:00	22	41	41	9	26	0.5	51	良	PM10
2014/7/29 22:00	20	37	37	9	21	0.4	44	优	PM10
2014/7/29 23:00	20	33	33	9	19	0.4	31	优	PM10
2014/7/30 0:00	20	33	33	8	16	0.4	39	优	PM10
2014/7/30 1:00	18	29	29	8	14	0.4	29	优	PM10
2014/7/30 2:00	17	27	27	8	15	0.4	25	优	PM2.5
2014/7/30 3:00	16	25	25	9	14	0.4	23	优	PM2.5
2014/7/30 4:00	13	24	24	9	14	0.4	22	优	PM10
2014/7/30 5:00	15	21	21	9	15	0.4	22	优	PM2.5
2014/7/30 6:00	13	18	18	9	16	0.4	23	优	PM10
2014/7/30 7:00	14	19	19	9	17	0.5	27	优	PM10
2014/7/30 8:00	17	24	24	10	17	0.5	25	优	PM2.5
2014/7/30 9:00	19	33	33	8	14	0.5	28	优	PM2.5
2014/7/30 10:00	19	45	45	10	14	0.4	28	优	PM2.5
2014/7/30 11:00	20	62	62	10	14	0.4	29	优	PM2.5
2014/7/30 12:00	20	71	71	9	11	0.4	30	优	PM10
2014/7/30 13:00	26	81	81	9	10	0.4	38	优	PM2.5
2014/7/30 14:00	25	87	87	9	12	0.4	38	优	PM10
2014/7/30 15:00	29	87	87	9	13	0.4	52	良	PM10
2014/7/30 16:00	31	77	77	8	13	0.4	53	良	PM10
2014/7/30 17:00	33	62	62	8	14	0.5	49	优	PM10
2014/7/30 18:00	34	51	51	8	16	0.5	54	良	PM10
2014/7/30 19:00	32	42	42	8	19	0.5	54	良	PM10
2014/7/30 20:00	33	39	39	8	19	0.5	59	良	PM10
2014/7/30 21:00	37	35	35	8	20	0.5	57	良	PM10
2014/7/30 22:00	32	29	29	8	19	0.5	54	良	PM10
2014/7/30 23:00	24	24	24	8	18	0.4	51	良	PM10
2014/7/31 0:00	22	21	21	9	19	0.4	41	优	PM10
2014/7/31 1:00	22	18	18	10	20	0.4	38	优	PM10
2014/7/31 2:00	18	18	18	10	19	0.4	33	优	PM10
2014/7/31 3:00	15	18	18	10	16	0.4	30	优	PM10
2014/7/31 4:00	17	18	18	10	15	0.4	27	优	PM10
2014/7/31 5:00	16	20	20	9	13	0.4	26	优	PM10
2014/7/31 6:00	15	20	20	9	13	0.4	25	优	PM10
2014/7/31 7:00	12	19	19	11	16	0.5	25	优	PM10
2014/7/31 8:00	15	24	24	11	15	0.5	22	优	PM2.5
2014/7/31 9:00	16	32	32	10	14	0.5	23	优	PM2.5
2014/7/31 10:00	18	41	41	9	12	0.5	26	优	PM2.5
2014/7/31 11:00	15	51	51	8	11	0.4	23	优	PM10
2014/7/31 12:00	14	54	54	7	10	0.4	20	优	PM2.5
2014/7/31 13:00	14	52	52	7	10	0.4	30	优	PM10
2014/7/31 14:00	13	51	51	8	11	0.4	41	优	PM10
2014/7/31 15:00	16	51	51	8	11	0.4	41	优	PM10
2014/7/31 16:00	15	48	48	8	13	0.4	39	优	PM10
2014/7/31 17:00	13	38	38	8	13	0.4	20	优	PM10
2014/7/31 18:00	10	40	40	7	16	0.4	40	优	PM10
2014/7/31 19:00	10	38	38	8	20	0.5	44	优	PM10
2014/7/31 20:00	14	38	38	9	17	0.4	38	优	PM10
2014/7/31 21:00	12	36	36	8	14	0.4	32	优	PM10
2014/7/31 22:00	11	33	33	8	13	0.4	28	优	PM10
2014/7/31 23:00	11	33	33	8	12	0.4	31	优	PM10
2014/8/1 0:00	11	33	33	7	10	0.4	17	优	PM10
2014/8/1 1:00	7	30	30	8	8	0.3	13	优	PM10
2014/8/1 2:00	5	30	30	9	10	0.3	17	优	PM10
2014/8/1 3:00	7	30	30	9	10	0.3	12	优	PM10
2014/8/1 4:00	6	27	27	8	11	0.4	20	优	PM10
2014/8/1 5:00	4	23	23	8	12	0.4	17	优	PM10
2014/8/1 6:00	8	22	22	8	13	0.4	12	优	PM2.5
2014/8/1 7:00	8	17	17	7	16	0.4	20	优	PM10
2014/8/1 8:00	9	17	17	7	16	0.4	18	优	PM10
2014/8/1 9:00	9	19	19	7	14	0.4	14	优	PM10
2014/8/1 10:00	9	22	22	9	15	0.4	15	优	PM10
2014/8/1 11:00	11	28	28	7	14	0.4	16	优	PM2.5
2014/8/1 12:00	12	32	32	7	13	0.4	18	优	PM2.5
2014/8/1 13:00	10	42	42	8	13	0.4	16	优	PM10
2014/8/1 14:00	13	47	47	9	17	0.4	26	优	PM10
2014/8/1 15:00	15	63	63	10	21	0.5	30	优	PM10
2014/8/1 16:00	21	72	72	10	21	0.5	43	优	PM10
2014/8/1 17:00	24	67	67	9	19	0.5	41	优	PM10
2014/8/1 18:00	20	60	60	9	23	0.5	36	优	PM10
2014/8/1 19:00	20	55	55	9	24	0.6	29	优	PM2.5
2014/8/1 20:00	20	51	51	8	24	0.6	29	优	PM2.5
2014/8/1 21:00	20	53	53	10	25	0.6	30	优	PM10
2014/8/1 22:00	18	56	56	10	20	0.5	29	优	PM10
2014/8/1 23:00	17	59	59	9	15	0.4	30	优	PM10
2014/8/2 0:00	15	57	57	8	13	0.4	34	优	PM10
2014/8/2 1:00	15	60	60	9	13	0.5	32	优	PM10
2014/8/2 2:00	15	57	57	8	14	0.5	29	优	PM10
2014/8/2 3:00	13	57	57	8	13	0.5	19	优	PM2.5
2014/8/2 4:00	13	52	52	8	12	0.5	20	优	PM10
2014/8/2 5:00	10	44	44	8	16	0.6	17	优	PM10
2014/8/2 6:00	12	40	40	8	20	0.6	18	优	PM2.5
2014/8/2 7:00	10	37	37	8	23	0.6	15	优	PM2.5
2014/8/2 8:00	12	36	36	8	24	0.5	18	优	PM2.5
2014/8/2 9:00	14	39	39	8	23	0.5	29	优	PM10
2014/8/2 10:00	15	41	41	8	23	0.5	27	优	PM10
2014/8/2 11:00	17	39	39	8	25	0.6	30	优	PM10
2014/8/2 12:00	19	39	39	8	23	0.7	28	优	PM2.5
2014/8/2 13:00	15	45	45	9	22	0.6	22	优	PM2.5
2014/8/2 14:00	18	52	52	9	21	0.6	26	优	PM2.5
2014/8/2 15:00	16	58	58	9	20	0.5	27	优	PM10
2014/8/2 16:00	19	71	71	9	21	0.5	31	优	PM10
2014/8/2 17:00	26	72	72	10	25	0.7	47	优	PM10
2014/8/2 18:00	34	64	64	12	28	0.7	49	优	PM2.5
2014/8/2 19:00	28	57	57	10	28	0.6	40	优	PM2.5
2014/8/2 20:00	28	49	49	10	31	0.6	42	优	PM10
2014/8/2 21:00	24	44	44	12	33	0.6	37	优	PM10
2014/8/2 22:00	25	33	33	14	39	0.8	42	优	PM10
2014/8/2 23:00	30	24	24	18	45	0.9	60	良	PM10
2014/8/3 0:00	41	22	22	19	46	0.8	70	良	PM10
2014/8/3 1:00	47	24	24	17	44	0.8	66	良	PM10
2014/8/3 2:00	51	35	35	15	36	0.9	70	良	PM2.5
2014/8/3 3:00	51	44	44	14	27	0.9	70	良	PM2.5
2014/8/3 4:00	57	45	45	13	25	0.9	78	良	PM2.5
2014/8/3 5:00	55	40	40	14	27	0.9	75	良	PM2.5
2014/8/3 6:00	55	33	33	15	32	0.9	75	良	PM2.5
2014/8/3 7:00	61	32	32	15	35	1	83	良	PM2.5
2014/8/3 8:00	69	37	37	16	37	1	93	良	PM2.5
2014/8/3 9:00	70	60	60	18	36	1	94	良	PM2.5
